hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence,age,role,nind
241,10,1,1,6,2,3,4,2,77,1,1
242,10,1,1,6,2,3,4,1,85,1,1
243,10,1,1,6,2,3,4,1,68,1,1
244,10,1,1,6,2,3,4,1,92,1,1
245,10,1,1,6,2,3,4,1,92,1,1
246,10,0,1,6,2,3,4,1,84,1,1
247,10,1,1,6,2,3,4,1,90,1,1
248,10,0,1,6,2,3,4,1,77,1,1
249,10,1,1,6,2,4,4,1,66,1,1
250,10,0,1,6,2,3,1,1,91,1,1
251,10,1,1,5,1,3,1,1,44,1,1
252,10,1,1,4,1,2,1,1,32,1,1
253,10,1,1,4,1,1,3,1,31,1,1
254,10,1,1,4,1,1,3,1,30,1,1
255,10,0,1,5,2,1,2,1,51,1,1
256,10,0,1,4,2,1,1,1,32,1,1
257,10,1,1,4,2,1,1,1,38,1,1
258,10,0,1,5,2,1,1,1,58,1,1
259,10,1,1,5,2,1,1,1,64,1,1
260,10,1,1,5,2,1,1,1,58,1,1
261,10,0,1,5,2,2,1,1,62,1,1
262,10,0,1,4,2,2,1,1,26,1,1
263,10,1,1,5,2,2,2,1,61,1,1
264,10,2,1,5,2,2,2,1,45,1,1
265,10,1,1,5,1,2,2,1,54,1,1
266,10,0,1,5,1,2,2,1,47,1,1
267,10,1,1,5,1,2,3,1,62,1,1
268,10,0,1,5,1,2,3,1,45,1,1
269,10,1,1,5,1,2,3,2,45,1,1
270,10,1,1,5,1,2,3,2,48,1,1
271,10,1,1,5,2,2,3,2,54,1,1
272,10,0,1,5,2,2,1,2,63,1,1
273,10,0,1,5,2,2,1,2,47,1,1
274,10,1,1,5,2,2,1,2,62,1,1
275,10,1,1,4,2,1,1,2,37,1,1
276,10,1,1,6,2,3,1,2,65,1,1
277,10,1,1,5,2,3,1,2,47,1,1
278,10,0,1,5,2,3,4,2,47,1,1
279,10,1,1,5,2,3,4,2,51,1,1
280,10,1,1,5,2,3,1,2,47,1,1
281,10,1,1,5,2,3,1,1,57,1,1
282,10,0,1,5,2,3,1,1,45,1,1
283,10,1,1,5,2,3,1,2,64,1,1
284,10,1,1,5,2,1,1,1,53,1,1
285,10,1,1,4,2,1,1,1,34,1,1
286,10,1,1,4,2,1,1,1,42,1,1
287,10,1,1,4,2,1,1,1,42,1,1
288,10,1,1,4,2,1,1,1,26,1,1
289,10,1,1,4,2,1,1,1,37,1,1
290,10,1,1,5,2,1,1,1,57,1,1
291,10,1,1,5,2,4,1,1,54,1,1
292,10,0,1,5,2,4,1,2,49,1,1
293,10,0,1,5,2,4,1,2,59,1,1
294,10,0,1,5,2,4,1,2,50,1,1
295,10,1,1,5,2,4,1,2,53,1,1
296,10,0,1,5,2,4,1,1,45,1,1
297,10,1,1,5,2,4,1,1,46,1,1
298,10,1,1,5,2,2,1,1,51,1,1
299,10,1,1,5,2,4,1,1,52,1,1
300,10,1,1,5,2,4,1,1,64,1,1
301,10,1,1,5,2,4,1,1,45,1,1
302,10,1,1,5,2,4,1,1,55,1,1
303,10,0,1,6,2,4,1,1,73,1,1
304,10,0,1,6,2,3,1,1,89,1,1
305,10,0,1,6,2,3,1,1,88,1,1
306,10,1,1,5,2,3,1,1,62,1,1
307,10,1,1,5,2,3,1,1,64,1,1
308,10,0,1,5,2,3,1,1,64,1,1
309,10,0,1,5,2,3,1,1,54,1,1
310,10,0,1,5,2,4,2,1,48,1,1
311,10,0,1,5,2,4,2,1,55,1,1
312,10,0,1,5,2,4,2,1,48,1,1
313,10,1,1,5,2,2,2,2,49,1,1
314,10,1,1,5,2,2,2,1,57,1,1
315,10,1,1,5,2,2,2,1,57,1,1
316,10,2,1,5,2,2,2,1,50,1,1
317,10,1,1,5,2,2,2,1,60,1,1
318,10,0,1,5,2,1,2,1,55,1,1
319,10,1,1,5,2,4,2,1,57,1,1
320,10,1,1,5,2,4,2,1,55,1,1
321,10,0,1,5,1,4,2,2,60,1,1
322,10,0,1,4,1,4,2,1,37,1,1
323,10,2,1,4,2,4,2,1,41,1,1
324,10,0,1,4,2,1,2,1,31,1,1
325,10,0,1,5,1,1,2,1,51,1,1
326,10,1,1,5,1,1,2,1,48,1,1
327,10,3,1,4,1,1,1,1,31,1,1
328,10,0,1,4,1,1,1,1,30,1,1
329,10,0,1,4,1,1,1,1,25,1,1
330,10,0,1,4,1,1,1,1,32,1,1
331,10,1,1,4,2,1,1,1,30,1,1
332,10,1,1,4,2,1,1,1,38,1,1
333,10,1,1,4,2,1,1,1,39,1,1
334,10,1,1,4,2,1,2,1,24,1,1
335,10,1,1,5,2,1,2,1,49,1,1
336,10,1,1,5,2,1,2,1,44,1,1
337,10,1,1,5,2,4,2,1,54,1,1
338,10,1,1,5,2,1,2,1,49,1,1
339,10,1,1,5,2,4,2,1,52,1,1
340,10,1,1,5,2,4,1,1,45,1,1
341,10,0,1,5,2,4,1,1,54,1,1
342,10,0,1,5,1,4,1,1,50,1,1
343,10,0,1,6,1,4,1,1,80,1,1
344,10,0,1,6,1,3,1,1,73,1,1
345,10,0,1,6,1,3,1,1,72,1,1
346,10,0,1,6,1,3,4,1,83,1,1
347,10,0,1,6,1,3,4,2,67,1,1
348,10,0,1,6,1,3,4,2,77,1,1
349,10,0,1,6,1,3,4,2,71,1,1
350,10,1,1,6,1,3,4,2,90,1,1
351,10,1,1,6,1,3,4,2,85,1,1
352,10,1,1,3,1,3,1,2,23,1,1
353,10,0,1,4,1,1,1,2,25,1,1
354,10,0,1,4,1,1,1,2,35,1,1
355,10,0,1,4,1,1,1,2,27,1,1
356,10,1,1,6,1,1,1,1,86,1,1
357,10,1,1,4,1,1,1,1,29,1,1
358,10,0,1,4,1,1,1,1,24,1,1
359,10,1,1,4,1,1,1,1,36,1,1
360,10,1,1,4,1,1,1,1,35,1,1
361,10,0,1,4,1,1,1,1,42,1,1
362,10,1,1,4,1,1,1,1,37,1,1
363,10,1,1,4,1,1,1,1,43,1,1
364,10,1,1,4,1,1,1,1,24,1,1
365,10,1,1,4,1,1,1,1,40,1,1
366,10,1,1,4,1,1,1,1,27,1,1
367,10,0,1,4,1,1,1,1,35,1,1
368,10,2,1,4,1,1,1,1,28,1,1
369,10,1,1,4,1,1,1,1,40,1,1
370,10,1,1,4,1,1,1,1,34,1,1
371,10,1,1,4,1,1,1,1,25,1,1
372,10,0,1,5,1,4,1,1,54,1,1
373,10,0,1,5,1,4,1,1,52,1,1
374,10,1,1,5,1,4,1,2,47,1,1
375,10,0,1,5,1,4,1,2,52,1,1
376,10,1,1,5,1,4,1,1,51,1,1
377,10,1,1,5,1,4,1,1,61,1,1
378,10,1,1,5,1,4,1,1,51,1,1
379,10,0,1,5,1,1,1,2,62,1,1
380,10,0,1,5,1,1,1,1,45,1,1
381,10,0,1,5,1,4,1,1,52,1,1
382,10,0,1,5,1,4,1,1,53,1,1
383,10,0,1,5,1,4,1,1,63,1,1
384,10,0,1,5,1,4,1,1,48,1,1
385,10,1,1,5,1,4,1,1,55,1,1
386,10,1,1,5,2,4,1,1,50,1,1
387,10,1,1,5,2,4,1,1,54,1,1
388,10,0,1,5,2,4,1,1,47,1,1
389,10,1,1,5,2,4,1,1,48,1,1
390,10,1,1,5,1,4,1,1,57,1,1
391,10,1,1,5,1,4,1,1,55,1,1
392,10,0,1,5,1,4,1,1,44,1,1
393,10,0,1,5,1,1,1,1,57,1,1
394,10,1,1,4,1,1,1,1,39,1,1
395,10,1,1,4,1,1,1,1,25,1,1
396,10,0,1,4,1,1,1,1,32,1,1
397,10,0,1,4,1,1,1,1,39,1,1
398,10,1,1,4,1,2,1,1,35,1,1
399,10,0,1,4,1,2,1,1,36,1,1
400,10,1,1,4,1,2,2,1,30,1,1
401,10,1,1,4,1,2,2,1,37,1,1
402,10,1,1,5,1,2,2,1,62,1,1
403,10,1,1,5,1,2,2,1,58,1,1
404,10,1,1,5,1,1,1,1,55,1,1
405,10,1,1,5,1,1,1,1,52,1,1
406,10,0,1,5,2,1,1,1,45,1,1
407,10,1,1,5,2,1,1,1,49,1,1
408,10,0,1,5,1,1,2,1,61,1,1
409,10,1,1,5,1,1,1,1,51,1,1
410,10,0,1,4,1,1,1,1,38,1,1
411,10,1,1,4,1,1,1,1,34,1,1
412,10,1,1,4,1,1,1,1,31,1,1
413,10,1,1,4,1,1,1,1,37,1,1
414,10,0,1,4,1,1,1,1,28,1,1
415,10,1,1,4,1,1,1,1,37,1,1
416,10,2,1,4,1,1,1,1,40,1,1
417,10,0,1,5,1,1,2,1,60,1,1
418,10,0,1,5,1,1,2,1,59,1,1
419,10,0,1,4,1,1,2,1,42,1,1
420,10,1,1,4,1,1,2,1,38,1,1
421,10,1,1,4,1,1,2,1,36,1,1
422,10,1,1,4,1,1,2,1,40,1,1
423,10,1,1,4,1,1,2,1,39,1,1
424,10,1,1,4,1,1,2,1,38,1,1
425,10,1,1,4,1,1,1,1,33,1,1
426,10,0,1,4,1,1,1,1,27,1,1
427,10,1,1,4,1,1,1,1,30,1,1
428,10,0,1,4,1,1,1,1,39,1,1
429,10,1,1,4,1,1,1,1,25,1,1
430,10,1,1,4,1,1,1,1,33,1,1
431,10,1,1,4,1,1,1,1,28,1,1
432,10,1,1,4,1,1,1,1,38,1,1
433,10,0,1,4,1,1,1,1,27,1,1
434,10,0,1,4,1,1,1,1,27,1,1
435,10,0,1,4,2,1,1,1,35,1,1
436,10,2,1,4,2,1,1,1,35,1,1
437,10,1,1,5,2,1,1,1,54,1,1
438,10,0,1,4,2,1,1,1,42,1,1
439,10,0,1,4,2,1,1,1,33,1,1
440,10,0,1,4,2,1,1,1,31,1,1
441,10,0,1,4,1,1,1,1,34,1,1
442,10,1,1,4,1,2,1,1,24,1,1
443,10,1,1,4,1,2,1,1,41,1,1
444,10,0,1,4,1,1,1,1,27,1,1
445,10,0,1,4,1,1,2,1,28,1,1
446,10,1,1,5,1,1,1,1,46,1,1
447,10,2,1,5,1,1,1,1,45,1,1
448,10,0,1,5,1,1,2,1,53,1,1
449,10,1,1,5,1,1,2,1,52,1,1
450,10,1,1,4,1,1,1,1,36,1,1
451,10,0,1,4,1,1,1,1,34,1,1
452,10,1,1,4,2,1,1,1,43,1,1
453,10,1,1,4,2,1,1,1,39,1,1
454,10,1,1,4,2,1,1,1,36,1,1
455,10,1,1,4,2,1,1,1,37,1,1
456,10,1,1,4,2,1,1,1,32,1,1
457,10,1,1,4,2,1,1,1,25,1,1
458,10,0,1,4,2,1,1,2,28,1,1
459,10,1,1,4,2,1,1,2,41,1,1
460,10,0,1,4,2,4,1,2,39,1,1
461,10,0,1,4,1,4,1,2,32,1,1
462,10,0,1,4,1,4,1,2,42,1,1
463,10,0,1,4,1,4,1,2,42,1,1
464,10,0,1,4,1,2,1,2,29,1,1
465,10,0,1,4,1,2,1,1,26,1,1
466,10,0,1,4,1,1,1,1,28,1,1
467,10,0,1,4,2,1,1,2,41,1,1
468,10,0,1,4,2,1,1,2,38,1,1
469,10,0,1,4,2,1,1,2,24,1,1
470,10,0,1,4,2,1,1,1,37,1,1
471,10,0,1,4,2,1,1,1,34,1,1
472,10,1,1,4,1,1,1,1,43,1,1
473,10,1,1,4,1,1,1,1,27,1,1
474,10,1,1,4,1,4,1,1,41,1,1
475,10,1,1,4,2,4,1,1,24,1,1
476,10,1,1,4,2,4,1,1,27,1,1
477,10,2,1,4,1,4,2,1,39,1,1
478,10,0,1,4,1,4,1,1,35,1,1
479,10,0,1,4,1,4,1,1,26,1,1
480,10,1,1,5,1,4,1,1,44,1,1
481,10,1,1,5,1,2,1,1,49,1,1
482,10,0,1,5,1,2,1,1,57,1,1
483,10,1,1,5,1,2,2,1,55,1,1
484,10,2,1,5,1,1,2,1,45,1,1
485,10,2,1,5,1,1,2,1,44,1,1
486,10,2,1,5,1,1,2,1,62,1,1
487,10,4,1,5,1,1,1,1,45,1,1
488,10,1,1,5,1,1,4,1,62,1,1
489,10,0,1,5,1,1,1,1,62,1,1
490,10,0,1,4,2,1,1,1,26,1,1
491,10,0,1,4,1,1,1,1,25,1,1
492,10,1,1,4,1,1,1,1,27,1,1
493,10,1,1,4,1,1,1,1,37,1,1
494,10,0,1,4,1,1,1,1,43,1,1
495,10,1,1,4,1,4,1,1,29,1,1
496,10,1,1,5,1,4,1,1,44,1,1
497,10,1,1,5,1,4,1,1,52,1,1
498,10,1,1,5,1,1,1,1,61,1,1
499,10,0,1,5,1,1,1,1,53,1,1
500,10,0,1,5,1,1,1,1,62,1,1
501,10,1,1,5,2,1,1,1,56,1,1
502,10,0,1,5,2,1,1,1,54,1,1
503,10,1,1,5,2,4,1,1,48,1,1
504,10,1,1,5,2,2,1,1,63,1,1
505,10,0,1,5,2,2,1,1,56,1,1
506,10,1,1,4,2,2,1,1,37,1,1
507,10,0,1,4,2,2,1,1,33,1,1
508,10,1,1,4,2,2,1,1,29,1,1
509,10,0,1,4,2,2,1,1,28,1,1
510,10,0,1,4,2,2,1,1,39,1,1
511,10,0,1,4,1,2,1,1,28,1,1
512,10,1,1,4,1,2,1,1,25,1,1
513,10,0,1,5,1,2,1,1,48,1,1
514,10,1,1,5,1,2,1,1,63,1,1
515,10,2,1,5,1,1,1,1,64,1,1
516,10,1,1,5,1,1,1,1,59,1,1
517,10,0,1,5,1,4,1,1,47,1,1
518,10,0,1,5,1,4,1,1,63,1,1
519,10,1,1,5,1,4,1,1,45,1,1
520,10,0,1,5,1,4,1,1,48,1,1
521,10,1,1,5,1,4,1,2,53,1,1
522,10,1,1,5,1,4,1,1,44,1,1
523,10,1,1,5,1,4,1,1,45,1,1
524,10,0,1,5,1,4,1,1,57,1,1
525,10,0,1,6,1,4,1,1,88,1,1
526,10,1,1,5,1,4,1,2,53,1,1
527,10,1,1,5,1,4,1,2,54,1,1
528,10,1,1,5,1,1,1,2,62,1,1
529,10,0,1,4,1,1,1,2,29,1,1
530,10,0,1,4,1,1,1,1,41,1,1
531,10,1,1,4,1,1,1,1,29,1,1
532,10,1,1,4,2,1,1,1,27,1,1
533,10,1,1,4,2,4,1,1,35,1,1
534,10,0,1,4,2,4,1,1,39,1,1
535,10,1,1,4,2,1,1,1,33,1,1
536,10,1,1,4,2,1,1,1,36,1,1
537,10,0,1,4,2,1,1,1,41,1,1
538,10,1,1,4,2,1,1,1,30,1,1
539,10,1,1,4,2,1,1,1,27,1,1
540,10,1,1,4,2,1,1,1,27,1,1
541,10,2,1,4,1,1,1,1,33,1,1
542,10,0,1,4,1,1,1,1,39,1,1
543,10,1,1,4,1,1,1,1,35,1,1
544,10,1,1,5,1,1,1,1,47,1,1
545,10,1,1,5,1,1,1,1,48,1,1
546,10,1,1,5,2,1,1,1,55,1,1
547,10,1,1,4,2,1,1,1,29,1,1
548,10,0,1,4,2,1,1,1,25,1,1
549,10,0,1,4,1,1,1,1,26,1,1
550,10,1,1,5,1,4,1,1,56,1,1
551,10,1,1,5,1,4,1,1,55,1,1
552,10,0,1,5,2,4,1,1,51,1,1
553,10,0,1,5,1,4,2,1,63,1,1
554,10,1,1,5,1,1,2,1,64,1,1
555,10,0,1,4,1,1,2,1,34,1,1
556,10,0,1,4,1,1,2,1,37,1,1
557,10,2,1,4,1,1,2,1,29,1,1
558,10,0,1,4,1,1,1,1,30,1,1
559,10,2,1,4,1,1,1,1,29,1,1
560,10,1,1,4,1,1,1,1,25,1,1
561,10,1,1,4,1,1,1,1,41,1,1
562,10,1,1,4,1,4,1,1,34,1,1
563,10,1,1,4,1,4,1,1,27,1,1
564,10,1,1,4,1,4,1,1,41,1,1
565,10,1,1,5,2,2,1,1,53,1,1
566,10,0,1,5,2,1,1,1,61,1,1
567,10,1,1,5,2,1,1,1,50,1,1
568,10,0,1,5,2,1,1,1,48,1,1
569,10,0,1,3,2,1,1,1,18,1,1
570,10,0,1,3,2,1,2,1,22,1,1
571,10,0,1,4,2,1,2,2,33,1,1
572,10,0,1,4,2,1,1,2,35,1,1
573,10,1,1,4,2,1,1,2,24,1,1
574,10,1,1,4,2,1,1,2,26,1,1
575,10,0,1,4,2,1,1,2,40,1,1
576,10,1,1,4,2,1,1,2,24,1,1
577,10,2,1,4,2,2,1,2,28,1,1
578,10,1,1,4,2,2,1,1,42,1,1
