hid,htype,nbcars_agg,hsize,age_discrete,gender,marital_status,employment,driving_licence,age,role
64,10,0,1,6,2,3,4,1,76,1
65,10,0,1,6,2,3,4,2,70,1
66,10,0,1,6,2,3,4,1,65,1
67,10,0,1,6,2,3,4,2,84,1
68,10,0,1,6,2,3,4,2,75,1
69,10,0,1,6,2,3,4,2,77,1
70,10,0,1,6,2,3,4,2,71,1
71,10,0,1,6,2,3,4,2,75,1
72,10,0,1,6,2,3,4,2,87,1
73,10,0,1,6,2,1,4,2,83,1
74,10,0,1,6,2,1,4,2,78,1
75,10,0,1,6,2,3,4,2,87,1
76,10,0,1,6,2,3,4,2,82,1
77,10,0,1,6,2,3,4,2,82,1
78,10,0,1,6,2,4,4,2,88,1
79,10,0,1,6,2,4,4,2,75,1
80,10,0,1,6,1,4,4,2,84,1
81,10,0,1,6,1,4,4,2,90,1
82,10,0,1,6,1,4,4,2,90,1
83,10,0,1,6,1,4,4,2,78,1
84,10,0,1,6,2,3,4,2,73,1
85,10,1,1,6,2,1,4,1,68,1
86,10,1,1,6,1,1,4,1,66,1
87,10,1,1,6,1,1,4,1,80,1
88,10,1,1,6,1,1,4,1,74,1
89,10,1,1,6,1,1,4,1,70,1
90,10,1,1,6,1,1,4,1,77,1
91,10,1,1,6,1,1,4,1,84,1
92,10,1,1,6,1,1,4,1,66,1
93,10,1,1,6,1,1,4,1,77,1
94,10,1,1,6,1,1,4,1,85,1
95,10,1,1,6,1,1,4,1,82,1
96,10,1,1,6,1,1,4,1,71,1
97,10,1,1,6,1,1,4,1,74,1
98,10,1,1,5,1,1,4,1,49,1
99,10,1,1,5,1,1,4,1,52,1
100,10,3,1,5,1,1,2,1,45,1
101,10,1,1,5,1,1,2,1,61,1
102,10,1,1,5,1,1,1,1,48,1
103,10,1,1,5,1,1,1,1,59,1
104,10,0,1,5,1,4,1,1,45,1
105,10,1,1,5,1,4,1,1,49,1
106,10,1,1,5,1,1,1,1,50,1
107,10,1,1,5,1,1,1,1,59,1
108,10,1,1,5,1,1,1,1,64,1
109,10,1,1,5,1,1,2,1,47,1
110,10,0,1,5,1,1,2,1,44,1
111,10,1,1,5,1,1,2,1,61,1
112,10,1,1,5,1,4,2,1,54,1
113,10,0,1,5,1,4,2,1,53,1
114,10,1,1,5,1,4,2,1,54,1
115,10,1,1,5,1,4,2,1,63,1
116,10,0,1,5,1,4,2,2,45,1
117,10,0,1,5,2,4,1,2,63,1
118,10,0,1,5,2,4,1,2,45,1
119,10,0,1,5,2,4,1,2,51,1
120,10,0,1,5,2,4,1,2,64,1
121,10,0,1,5,2,4,1,2,49,1
122,10,0,1,5,1,4,2,2,64,1
123,10,0,1,5,1,4,1,2,44,1
124,10,0,1,5,1,4,1,2,63,1
125,10,0,1,5,2,4,1,2,55,1
126,10,0,1,5,2,4,1,2,57,1
127,10,0,1,5,2,1,1,2,62,1
128,10,0,1,5,2,1,1,2,58,1
129,10,0,1,5,2,1,1,2,49,1
130,10,1,1,5,2,1,1,1,58,1
131,10,1,1,5,2,4,1,1,50,1
132,10,1,1,5,1,4,1,1,61,1
133,10,1,1,4,1,4,1,1,39,1
134,10,0,1,4,1,4,1,2,28,1
135,10,0,1,4,2,1,1,2,39,1
136,10,0,1,4,2,1,1,1,43,1
137,10,1,1,4,2,1,2,1,34,1
138,10,1,1,4,2,1,2,1,28,1
139,10,1,1,4,2,1,2,1,25,1
140,10,0,1,5,2,1,2,1,58,1
141,10,1,1,4,2,1,2,1,32,1
142,10,1,1,4,2,1,2,1,25,1
143,10,1,1,4,2,1,2,1,30,1
144,10,1,1,4,2,1,1,1,42,1
145,10,0,1,4,2,1,1,1,27,1
146,10,1,1,4,2,1,1,1,25,1
147,10,1,1,5,1,1,1,1,51,1
148,10,0,1,5,1,1,1,1,49,1
149,10,1,1,5,1,1,1,1,52,1
150,10,1,1,4,1,1,1,1,34,1
151,10,1,1,4,1,1,2,1,41,1
152,10,0,1,4,1,1,2,1,37,1
153,10,1,1,4,1,1,2,1,42,1
154,10,2,1,4,1,4,2,1,28,1
155,10,1,1,4,1,4,2,1,27,1
156,10,1,1,4,1,4,2,1,27,1
157,10,1,1,4,1,4,2,1,36,1
158,10,1,1,4,2,1,2,1,30,1
159,10,0,1,4,2,1,1,1,36,1
160,10,0,1,4,1,1,1,1,27,1
161,10,1,1,4,1,1,1,1,42,1
162,10,1,1,4,2,1,1,1,39,1
163,10,1,1,4,2,1,1,1,29,1
164,10,1,1,5,2,1,1,1,59,1
165,10,1,1,5,2,1,1,1,60,1
166,10,0,1,5,2,1,1,1,60,1
167,10,1,1,5,2,4,1,1,60,1
168,10,0,1,5,2,4,1,1,55,1
169,10,0,1,5,2,4,1,1,55,1
170,10,0,1,5,2,3,1,1,44,1
171,10,0,1,5,2,1,1,1,47,1
172,10,1,1,4,2,1,1,1,28,1
173,10,1,1,4,2,1,1,1,27,1
174,10,1,1,4,2,1,1,1,38,1
175,10,1,1,4,2,1,1,1,27,1
176,10,1,1,4,2,1,1,1,27,1
177,10,1,1,4,2,1,1,1,27,1
178,10,1,1,4,2,1,1,1,32,1
179,10,1,1,4,2,1,1,1,41,1
180,10,1,1,4,2,1,1,1,29,1
181,10,1,1,4,2,1,1,1,40,1
182,10,1,1,4,2,1,1,1,42,1
183,10,1,1,4,2,1,1,1,42,1
184,10,1,1,4,1,1,1,1,36,1
185,10,1,1,4,1,1,1,1,39,1
186,10,1,1,4,1,1,1,1,38,1
187,10,0,1,4,1,1,1,1,28,1
188,10,1,1,4,2,1,1,1,28,1
189,10,1,1,4,2,2,1,1,42,1
190,10,1,1,4,2,2,1,1,29,1
191,10,1,1,4,1,2,1,1,25,1
192,10,1,1,4,1,2,1,1,39,1
193,10,0,1,4,1,2,1,1,25,1
194,10,0,1,4,2,2,1,1,26,1
195,10,1,1,5,2,2,1,1,62,1
196,10,1,1,5,2,4,1,1,46,1
197,10,1,1,5,2,4,1,1,54,1
198,10,1,1,5,2,4,1,1,57,1
199,10,1,1,5,2,4,1,1,45,1
200,10,0,1,5,2,4,1,1,44,1
201,10,0,1,5,2,4,1,1,51,1
202,10,0,1,5,2,1,1,2,61,1
203,10,0,1,5,2,1,2,2,49,1
204,10,0,1,5,2,1,1,2,44,1
205,10,0,1,5,2,1,1,2,60,1
206,10,0,1,5,2,1,2,2,51,1
207,10,1,1,5,2,1,2,1,46,1
208,10,1,1,5,2,1,2,1,58,1
209,10,1,1,5,2,1,2,1,58,1
210,10,0,1,5,2,1,2,1,61,1
211,10,0,1,5,2,1,1,2,46,1
212,10,0,1,3,2,1,1,2,23,1
213,10,0,1,3,2,1,1,2,23,1
214,10,0,1,3,2,1,1,1,23,1
215,10,2,1,3,2,1,1,1,23,1
216,10,2,1,3,2,1,1,1,21,1
217,10,1,1,3,2,1,1,1,19,1
218,10,1,1,3,2,1,1,1,22,1
219,10,0,1,5,2,1,1,1,60,1
220,10,1,1,4,2,1,1,1,24,1
221,10,1,1,4,2,1,1,1,29,1
222,10,1,1,4,2,1,1,1,31,1
223,10,1,1,5,2,1,1,1,53,1
224,10,0,1,5,2,1,1,1,46,1
225,10,0,1,4,2,1,1,1,31,1
226,10,0,1,4,2,1,1,1,35,1
227,10,1,1,4,2,1,1,1,33,1
228,10,1,1,4,2,1,1,1,26,1
229,10,1,1,4,2,1,1,1,27,1
230,10,1,1,4,1,1,1,1,35,1
231,10,1,1,5,1,1,1,1,55,1
232,10,2,1,5,1,1,1,1,45,1
233,10,1,1,5,1,1,1,1,58,1
234,10,0,1,5,2,1,1,1,61,1
235,10,0,1,5,2,1,1,1,52,1
236,10,1,1,5,2,1,1,1,54,1
237,10,1,1,5,2,1,4,1,58,1
238,10,1,1,5,2,1,4,1,61,1
239,10,1,1,5,2,1,4,1,59,1
240,10,1,1,5,2,4,4,1,47,1
241,10,1,1,5,2,2,4,1,59,1
242,10,1,1,5,1,1,4,1,60,1
243,10,1,1,4,1,1,1,1,43,1
244,10,1,1,4,1,1,1,1,24,1
245,10,1,1,5,1,1,1,1,62,1
246,10,1,1,4,1,1,1,1,43,1
247,10,0,1,4,1,1,1,1,40,1
248,10,1,1,5,1,1,1,1,44,1
249,10,1,1,5,1,2,1,1,58,1
250,10,1,1,5,1,2,1,1,51,1
251,10,1,1,5,1,1,1,1,55,1
252,10,1,1,5,2,1,1,1,62,1
253,10,1,1,5,2,1,1,1,53,1
254,10,1,1,5,2,4,1,1,49,1
255,10,1,1,5,2,4,1,1,63,1
256,10,1,1,5,2,4,1,1,63,1
257,10,1,1,5,1,4,1,1,53,1
258,10,1,1,5,1,4,1,1,45,1
259,10,1,1,5,1,4,4,1,52,1
260,10,0,1,5,1,4,4,1,55,1
261,10,1,1,5,1,4,4,1,62,1
262,10,1,1,5,1,4,4,1,58,1
263,10,1,1,6,1,4,4,1,78,1
264,10,1,1,6,1,4,4,1,67,1
265,10,1,1,6,1,4,4,1,67,1
266,10,1,1,6,1,4,4,1,68,1
267,10,1,1,6,1,4,4,1,81,1
268,10,0,1,6,1,3,4,1,75,1
269,10,1,1,6,1,3,4,1,76,1
270,10,1,1,6,2,3,4,1,72,1
271,10,1,1,6,2,3,4,1,70,1
272,10,1,1,6,2,3,4,1,83,1
273,10,1,1,6,2,3,4,1,85,1
274,10,1,1,6,2,3,4,1,69,1
275,10,0,1,6,2,3,4,1,82,1
276,10,0,1,6,2,3,4,1,74,1
277,10,0,1,6,2,3,4,1,78,1
278,10,1,1,6,2,3,4,1,90,1
279,10,1,1,6,2,3,4,1,66,1
280,10,0,1,6,2,3,4,1,75,1
281,10,1,1,6,2,1,4,1,73,1
282,10,1,1,6,2,3,4,1,77,1
283,10,1,1,6,2,3,4,1,69,1
284,10,1,1,6,2,3,4,1,89,1
285,10,1,1,6,2,3,4,1,79,1
286,10,1,1,6,2,3,4,1,80,1
287,10,0,1,6,2,4,4,1,77,1
288,10,0,1,6,2,4,4,1,90,1
289,10,1,1,6,2,3,4,1,65,1
290,10,1,1,6,2,3,4,1,65,1
291,10,1,1,6,2,3,4,1,81,1
292,10,1,1,6,2,3,4,1,77,1
293,10,1,1,6,2,3,4,1,78,1
294,10,1,1,6,2,3,4,1,82,1
295,10,2,1,6,2,3,4,1,88,1
296,10,2,1,6,2,3,4,1,65,1
297,10,1,1,6,2,3,4,1,87,1
298,10,0,1,6,2,3,4,1,85,1
299,10,1,1,6,2,3,4,1,79,1
300,10,1,1,6,2,3,4,1,79,1
301,10,1,1,6,2,3,4,1,80,1
302,10,1,1,6,2,3,4,1,82,1
303,10,1,1,6,2,3,4,1,67,1
304,10,1,1,6,2,3,4,1,70,1
305,10,1,1,6,2,3,4,1,84,1
306,10,0,1,6,2,3,4,1,75,1
307,10,0,1,6,2,3,4,2,84,1
308,10,0,1,6,2,3,4,2,65,1
309,10,0,1,6,2,4,4,2,87,1
310,10,0,1,6,2,4,4,2,84,1
311,10,0,1,6,2,3,4,2,68,1
312,10,0,1,6,2,3,4,2,86,1
313,10,0,1,6,2,1,4,2,80,1
314,10,0,1,6,2,1,4,2,74,1
315,10,0,1,6,2,1,4,2,69,1
316,10,0,1,6,2,1,4,2,85,1
317,10,0,1,6,2,1,4,2,67,1
318,10,0,1,6,2,1,4,2,71,1
319,10,0,1,6,2,1,4,2,89,1
320,10,0,1,6,2,4,4,2,88,1
321,10,0,1,6,2,4,4,2,65,1
322,10,0,1,6,2,4,4,2,74,1
323,10,0,1,6,2,4,4,2,70,1
324,10,0,1,6,2,4,4,2,86,1
325,10,0,1,6,1,4,4,2,84,1
326,10,0,1,6,2,4,4,2,88,1
327,10,0,1,6,2,1,4,2,77,1
328,10,0,1,6,2,1,4,2,75,1
329,10,0,1,6,2,1,4,2,85,1
330,10,0,1,6,2,1,4,2,66,1
331,10,0,1,6,2,1,4,2,87,1
332,10,0,1,6,2,1,4,2,69,1
333,10,0,1,6,2,1,4,2,68,1
334,10,0,1,6,2,1,4,2,68,1
335,10,0,1,6,2,1,4,2,81,1
336,10,0,1,6,2,1,4,2,80,1
337,10,0,1,6,2,3,4,2,85,1
338,10,0,1,6,2,3,4,2,73,1
339,10,0,1,6,2,3,4,2,85,1
340,10,0,1,6,2,3,4,2,83,1
341,10,0,1,6,2,3,4,2,72,1
342,10,0,1,6,2,3,4,2,83,1
343,10,0,1,6,2,3,4,2,83,1
344,10,0,1,6,2,3,4,2,76,1
345,10,0,1,6,2,3,4,2,71,1
346,10,0,1,6,2,3,4,2,78,1
347,10,0,1,6,2,3,4,2,74,1
348,10,0,1,6,2,4,4,2,82,1
349,10,1,1,6,2,3,4,1,80,1
350,10,1,1,6,2,3,4,1,89,1
351,10,1,1,6,2,3,4,1,79,1
352,10,1,1,6,2,3,4,1,65,1
353,10,0,1,6,2,3,4,1,88,1
354,10,0,1,6,2,3,4,1,82,1
355,10,1,1,6,2,3,4,1,75,1
356,10,1,1,6,2,3,4,1,80,1
357,10,1,1,6,2,3,4,1,86,1
358,10,1,1,6,2,3,4,1,77,1
359,10,0,1,6,2,3,4,1,74,1
360,10,0,1,6,2,3,4,1,79,1
361,10,1,1,6,2,3,4,1,83,1
362,10,1,1,6,2,3,4,1,80,1
363,10,1,1,6,2,3,4,1,79,1
364,10,1,1,6,2,3,4,1,82,1
365,10,1,1,6,2,3,4,1,71,1
366,10,1,1,6,1,3,4,1,83,1
367,10,0,1,6,1,3,4,1,65,1
368,10,1,1,6,1,3,4,1,71,1
369,10,0,1,6,1,3,4,1,81,1
370,10,0,1,6,1,3,4,1,73,1
371,10,1,1,6,1,3,4,1,83,1
372,10,1,1,6,1,3,4,1,66,1
373,10,1,1,6,1,3,4,1,69,1
374,10,1,1,6,1,3,4,1,94,1
375,10,0,1,6,1,3,4,1,75,1
376,10,1,1,6,1,3,4,1,68,1
377,10,1,1,6,1,3,4,1,75,1
378,10,1,1,6,1,3,4,1,75,1
379,10,1,1,6,1,3,1,1,66,1
380,10,1,1,6,1,3,1,1,69,1
381,10,1,1,6,1,3,1,1,66,1
382,10,1,1,6,1,3,4,1,80,1
383,10,1,1,6,1,3,4,1,88,1
384,10,1,1,6,1,3,4,1,75,1
385,10,1,1,6,1,3,4,1,80,1
386,10,1,1,6,1,3,4,1,80,1
387,10,1,1,6,1,3,4,1,84,1
388,10,1,1,6,1,3,4,1,69,1
389,10,1,1,6,1,3,4,1,87,1
390,10,0,1,6,1,3,4,2,69,1
391,10,0,1,6,1,3,4,2,70,1
392,10,0,1,6,1,3,4,2,86,1
393,10,0,1,6,2,3,4,2,80,1
394,10,0,1,6,2,3,4,2,81,1
395,10,0,1,6,2,3,4,2,72,1
396,10,0,1,6,2,3,4,2,83,1
397,10,0,1,6,2,3,4,2,65,1
398,10,0,1,6,2,3,4,2,82,1
399,10,0,1,6,2,3,4,2,82,1
400,10,0,1,6,2,1,4,2,87,1
401,10,0,1,6,2,1,4,2,74,1
402,10,0,1,6,1,1,1,2,85,1
403,10,0,1,6,1,1,1,2,66,1
404,10,0,1,6,1,1,1,2,72,1
405,10,0,1,6,1,1,4,2,68,1
406,10,0,1,6,1,1,4,2,76,1
407,10,0,1,6,1,1,4,2,70,1
408,10,0,1,6,2,1,4,2,66,1
409,10,0,1,6,2,1,4,2,65,1
410,10,0,1,6,2,1,4,2,84,1
411,10,0,1,6,2,1,4,2,67,1
412,10,0,1,6,2,1,4,2,67,1
413,10,0,1,6,2,1,4,2,83,1
414,10,0,1,6,2,3,4,2,68,1
415,10,0,1,6,2,1,4,2,89,1
416,10,0,1,6,2,1,4,2,65,1
417,10,0,1,6,2,1,4,2,74,1
418,10,0,1,6,1,1,4,2,75,1
419,10,0,1,6,1,1,4,2,85,1
420,10,0,1,6,1,1,4,2,94,1
421,10,0,1,5,1,4,4,2,44,1
422,10,0,1,5,2,4,4,2,61,1
423,10,0,1,5,2,4,4,2,47,1
424,10,0,1,6,2,4,4,2,72,1
425,10,0,1,6,2,4,4,2,83,1
426,10,0,1,6,2,4,4,2,79,1
427,10,0,1,6,2,3,4,2,79,1
428,10,0,1,6,2,3,4,2,77,1
429,10,0,1,6,2,3,4,2,82,1
430,10,0,1,6,2,3,4,2,83,1
431,10,0,1,6,2,3,4,2,75,1
432,10,0,1,6,2,3,4,2,65,1
433,10,0,1,6,2,3,4,2,81,1
434,10,0,1,6,2,3,4,2,67,1
435,10,0,1,6,2,3,4,1,82,1
436,10,0,1,6,2,4,4,1,69,1
437,10,0,1,6,2,3,4,1,81,1
438,10,2,1,6,2,3,4,1,75,1
439,10,1,1,6,2,3,4,1,69,1
440,10,0,1,6,2,3,4,1,84,1
441,10,1,1,6,2,3,4,1,89,1
442,10,1,1,6,2,3,4,1,69,1
443,10,1,1,6,2,3,4,1,86,1
444,10,1,1,6,2,4,4,1,89,1
445,10,1,1,6,2,4,4,1,74,1
446,10,1,1,6,2,4,4,1,68,1
447,10,1,1,6,2,4,4,1,92,1
448,10,1,1,6,2,4,4,1,80,1
449,10,1,1,6,1,4,4,1,85,1
450,10,1,1,6,1,4,4,1,73,1
451,10,1,1,6,1,4,4,1,86,1
452,10,1,1,6,2,4,4,1,84,1
453,10,1,1,6,2,3,4,1,83,1
454,10,1,1,6,2,3,4,1,86,1
455,10,1,1,6,2,3,4,1,79,1
456,10,1,1,6,2,1,4,1,68,1
457,10,1,1,6,2,1,4,1,66,1
458,10,0,1,6,2,1,4,1,91,1
459,10,0,1,6,2,3,4,1,79,1
460,10,0,1,6,2,3,4,1,83,1
461,10,0,1,6,2,3,4,1,93,1
462,10,2,1,6,2,3,4,1,86,1
463,10,2,1,6,2,3,4,1,78,1
464,10,0,1,6,2,3,1,1,85,1
465,10,1,1,5,2,3,1,1,56,1
466,10,0,1,5,2,3,1,1,60,1
467,10,0,1,5,1,1,1,2,55,1
468,10,0,1,5,1,1,1,2,52,1
469,10,0,1,5,1,1,1,1,61,1
470,10,0,1,5,1,1,1,1,64,1
471,10,0,1,5,1,1,1,1,55,1
472,10,1,1,5,1,1,1,1,60,1
473,10,1,1,5,1,1,1,1,46,1
474,10,0,1,5,1,1,1,1,54,1
475,10,0,1,5,1,1,1,1,57,1
476,10,0,1,5,1,1,1,1,64,1
477,10,0,1,5,1,1,1,1,56,1
478,10,0,1,5,1,1,1,1,60,1
479,10,1,1,5,1,1,1,1,61,1
480,10,1,1,4,1,1,1,1,40,1
481,10,0,1,4,1,4,1,1,29,1
482,10,1,1,5,2,4,1,1,61,1
483,10,1,1,5,2,4,1,1,58,1
484,10,1,1,5,2,1,1,1,63,1
485,10,1,1,5,2,3,1,1,48,1
486,10,0,1,5,2,3,1,1,53,1
487,10,0,1,5,2,3,1,1,58,1
488,10,1,1,5,2,1,1,1,56,1
489,10,1,1,5,2,1,1,1,48,1
490,10,0,1,5,2,1,1,1,46,1
491,10,0,1,5,2,1,2,1,46,1
492,10,0,1,5,1,1,2,2,48,1
493,10,0,1,5,1,1,2,2,62,1
494,10,0,1,5,1,4,2,2,63,1
495,10,0,1,5,1,4,2,2,56,1
496,10,0,1,5,1,2,2,2,49,1
497,10,0,1,5,1,2,4,2,59,1
498,10,2,1,5,2,2,1,2,61,1
499,10,0,1,5,2,2,1,2,45,1
500,10,0,1,5,2,2,1,2,47,1
501,10,0,1,5,2,2,1,2,61,1
502,10,0,1,5,2,2,1,2,54,1
503,10,0,1,5,2,1,1,2,60,1
504,10,0,1,4,2,1,1,2,34,1
505,10,1,1,4,2,1,1,1,28,1
506,10,1,1,4,2,4,1,1,28,1
507,10,1,1,5,2,4,1,1,48,1
508,10,0,1,5,2,4,1,1,51,1
509,10,0,1,5,2,4,1,1,62,1
510,10,0,1,5,1,1,1,2,45,1
511,10,0,1,4,1,1,1,2,30,1
512,10,0,1,4,1,1,1,2,36,1
513,10,0,1,4,2,1,1,2,24,1
514,10,0,1,4,2,1,1,2,38,1
515,10,0,1,4,2,1,1,2,40,1
516,10,0,1,4,2,1,1,2,32,1
517,10,0,1,4,2,1,1,2,37,1
518,10,0,1,4,2,1,1,2,32,1
519,10,0,1,4,2,1,1,2,39,1
520,10,0,1,4,2,1,1,1,43,1
521,10,0,1,4,1,1,1,1,34,1
522,10,2,1,4,1,1,1,1,25,1
523,10,1,1,4,1,1,1,1,37,1
524,10,1,1,4,1,1,1,1,27,1
525,10,1,1,4,1,1,1,1,42,1
526,10,1,1,5,1,1,1,1,48,1
527,10,1,1,5,1,1,1,1,64,1
528,10,1,1,5,2,4,1,1,50,1
529,10,0,1,5,2,3,1,2,61,1
530,10,0,1,5,2,3,1,2,59,1
531,10,0,1,5,2,1,1,2,51,1
532,10,0,1,4,2,1,1,2,31,1
533,10,0,1,4,2,1,1,2,42,1
534,10,0,1,4,2,1,1,1,43,1
535,10,1,1,4,2,1,1,1,32,1
536,10,1,1,4,2,1,2,1,35,1
537,10,1,1,4,2,1,2,1,25,1
538,10,0,1,4,2,1,1,1,42,1
539,10,1,1,4,2,1,1,1,40,1
540,10,1,1,3,2,1,1,1,20,1
541,10,1,1,3,2,1,1,1,21,1
542,10,1,1,3,2,1,1,1,23,1
543,10,0,1,3,2,1,1,1,22,1
544,10,0,1,4,2,1,1,1,43,1
545,10,0,1,4,2,1,1,1,41,1
546,10,0,1,4,2,1,1,1,29,1
547,10,0,1,4,1,1,1,1,38,1
548,10,0,1,4,2,1,1,1,41,1
549,10,0,1,4,2,1,1,1,40,1
550,10,1,1,4,2,1,1,1,42,1
551,10,1,1,4,2,1,1,1,35,1
552,10,0,1,4,2,1,1,1,32,1
553,10,0,1,4,2,1,1,1,27,1
554,10,1,1,4,2,1,1,1,27,1
555,10,1,1,4,2,1,1,1,36,1
556,10,1,1,4,2,1,1,1,43,1
557,10,1,1,4,2,1,1,1,28,1
558,10,1,1,4,2,1,1,1,43,1
559,10,0,1,4,2,1,1,1,29,1
560,10,1,1,4,2,1,1,1,28,1
561,10,0,1,4,2,1,1,1,31,1
562,10,0,1,4,2,1,1,1,32,1
563,10,0,1,3,2,1,1,1,21,1
564,10,1,1,4,2,1,1,1,27,1
565,10,1,1,4,2,1,1,1,30,1
566,10,1,1,4,2,1,1,1,38,1
567,10,1,1,4,2,1,1,1,38,1
568,10,1,1,4,2,1,1,1,30,1
569,10,1,1,4,2,1,1,1,27,1
570,10,1,1,4,2,1,1,1,43,1
571,10,0,1,4,2,1,1,2,39,1
572,10,0,1,4,2,1,1,1,26,1
573,10,1,1,4,2,1,1,1,37,1
574,10,1,1,4,2,1,1,1,30,1
575,10,1,1,5,2,1,1,1,44,1
576,10,1,1,5,1,1,1,1,56,1
577,10,1,1,4,1,1,1,1,42,1
578,10,0,1,5,1,1,1,1,44,1
579,10,0,1,5,2,1,1,1,52,1
580,10,1,1,5,2,1,1,1,59,1
581,10,1,1,5,2,4,1,1,64,1
582,10,1,1,5,2,4,1,1,61,1
583,10,0,1,5,2,4,1,1,54,1
584,10,1,1,5,2,4,1,1,50,1
585,10,1,1,5,2,4,1,1,50,1
586,10,1,1,5,2,4,2,1,46,1
587,10,1,1,5,2,4,1,1,56,1
588,10,1,1,5,2,4,1,1,57,1
589,10,1,1,5,1,4,1,1,51,1
590,10,1,1,5,1,4,1,1,63,1
591,10,1,1,5,1,1,1,1,44,1
592,10,0,1,4,1,1,1,1,28,1
593,10,1,1,4,1,1,1,1,40,1
594,10,0,1,4,1,1,1,1,42,1
595,10,0,1,4,1,1,1,1,42,1
596,10,0,1,4,1,1,1,1,36,1
597,10,1,1,4,1,1,1,1,34,1
598,10,1,1,4,1,1,1,1,32,1
599,10,1,1,4,1,1,1,1,25,1
600,10,1,1,4,1,1,2,1,39,1
601,10,1,1,4,1,1,2,1,34,1
602,10,0,1,4,1,1,1,2,26,1
603,10,0,1,5,1,1,1,2,44,1
604,10,0,1,4,1,1,1,2,29,1
605,10,0,1,4,1,1,1,2,35,1
606,10,0,1,4,1,1,1,1,39,1
607,10,1,1,4,1,1,1,1,29,1
608,10,1,1,4,1,1,1,1,32,1
609,10,2,1,4,1,1,1,1,33,1
610,10,1,1,4,1,1,1,1,26,1
611,10,1,1,4,1,1,1,1,38,1
612,10,1,1,4,2,1,1,1,39,1
613,10,1,1,4,2,1,1,1,40,1
614,10,0,1,4,2,1,1,1,31,1
615,10,1,1,5,2,1,2,1,61,1
616,10,1,1,5,2,1,2,1,50,1
617,10,1,1,5,2,1,2,1,44,1
618,10,1,1,5,1,1,2,1,61,1
619,10,1,1,5,1,1,2,1,52,1
620,10,1,1,5,1,1,2,1,44,1
621,10,1,1,5,1,1,2,1,56,1
622,10,1,1,5,1,4,2,1,55,1
623,10,1,1,4,1,4,2,1,43,1
624,10,1,1,4,1,4,2,1,39,1
625,10,0,1,4,1,1,2,1,43,1
626,10,0,1,5,1,1,2,1,55,1
627,10,0,1,5,1,1,2,1,54,1
628,10,1,1,4,2,1,2,1,35,1
629,10,1,1,4,2,1,2,1,40,1
630,10,1,1,4,2,1,2,1,39,1
631,10,1,1,5,2,1,2,1,49,1
