Year,Sex,Age,Population
2004,Female,3,35498
2004,Female,4,35693
2004,Female,5,37403
2004,Female,6,38253
2004,Female,7,38880
2004,Female,8,40148
2004,Female,9,39954
2004,Female,10,40736
2004,Female,11,41321
2004,Female,12,43272
2004,Female,13,43269
2004,Female,14,43273
2004,Female,15,42637
2004,Female,16,42667
2004,Female,17,41262
2004,Female,18,41579
2004,Female,19,41625
2004,Female,20,41685
2004,Female,21,41816
2004,Female,22,43474
2004,Female,23,43259
2004,Female,24,44393
2004,Female,25,44305
2004,Female,26,44552
2004,Female,27,45536
2004,Female,28,46574
2004,Female,29,47251
2004,Female,30,49248
2004,Female,31,50627
2004,Female,32,52677
2004,Female,33,55453
2004,Female,34,56593
2004,Female,35,58920
2004,Female,36,60503
2004,Female,37,61468
2004,Female,38,63053
2004,Female,39,63320
2004,Female,40,64501
2004,Female,41,63333
2004,Female,42,61344
2004,Female,43,59761
2004,Female,44,58579
2004,Female,45,57214
2004,Female,46,55205
2004,Female,47,54553
2004,Female,48,52999
2004,Female,49,51519
2004,Female,50,50715
2004,Female,51,49494
2004,Female,52,49528
2004,Female,53,47533
2004,Female,54,48814
2004,Female,55,48538
2004,Female,56,49326
2004,Female,57,48325
2004,Female,58,48077
2004,Female,59,45817
2004,Female,60,45493
2004,Female,61,44151
2004,Female,62,42132
2004,Female,63,39781
2004,Female,64,37167
2004,Female,65,36165
2004,Female,66,35158
2004,Female,67,33733
2004,Female,68,34260
2004,Female,69,33793
2004,Female,70,33203
2004,Female,71,32534
2004,Female,72,32076
2004,Female,73,31329
2004,Female,74,31405
2004,Female,75,30498
2004,Female,76,29559
2004,Female,77,28251
2004,Female,78,28159
2004,Female,79,27317
2004,Female,80,26393
2004,Female,81,25052
2004,Female,82,23440
2004,Female,83,23202
2004,Female,84,20925
2004,Female,85,16848
2004,Female,86,14945
2004,Female,87,13591
2004,Female,88,12347
2004,Female,89,11122
2004,Female,90,10863
2004,Female,91,9188
2004,Female,92,7821
2004,Female,93,6201
2004,Female,94,4941
2004,Female,95,3643
2004,Female,96,2847
2004,Female,97,1974
2004,Female,98,1326
2004,Female,99,2531
2005,Male,0,0
2005,Male,1,37277
2005,Male,2,36832
2005,Male,3,37697
2005,Male,4,37867
2005,Male,5,38250
2005,Male,6,39929
2005,Male,7,40542
2005,Male,8,41377
2005,Male,9,42661
2005,Male,10,42366
2005,Male,11,43263
2005,Male,12,43727
2005,Male,13,45509
2005,Male,14,46144
2005,Male,15,46003
2005,Male,16,45250
2005,Male,17,45444
2005,Male,18,43860
2005,Male,19,43899
2005,Male,20,43505
2005,Male,21,44418
2005,Male,22,43783
2005,Male,23,44357
2005,Male,24,44705
2005,Male,25,44997
2005,Male,26,44813
2005,Male,27,45157
2005,Male,28,46155
2005,Male,29,46456
2005,Male,30,47466
2005,Male,31,49582
2005,Male,32,50668
2005,Male,33,52967
2005,Male,34,55233
2005,Male,35,56529
2005,Male,36,58447
2005,Male,37,60516
2005,Male,38,61529
2005,Male,39,63729
2005,Male,40,64854
2005,Male,41,66051
2005,Male,42,64487
2005,Male,43,62533
2005,Male,44,60539
2005,Male,45,59441
2005,Male,46,58058
2005,Male,47,56683
2005,Male,48,55636
2005,Male,49,54828
2005,Male,50,52569
2005,Male,51,50932
2005,Male,52,49243
2005,Male,53,49280
2005,Male,54,47544
2005,Male,55,49189
2005,Male,56,48327
2005,Male,57,48653
2005,Male,58,47868
2005,Male,59,47628
2005,Male,60,45948
2005,Male,61,44693
2005,Male,62,42767
2005,Male,63,40698
2005,Male,64,37278
2005,Male,65,33980
2005,Male,66,32706
2005,Male,67,31397
2005,Male,68,29731
2005,Male,69,29451
2005,Male,70,28901
2005,Male,71,27882
2005,Male,72,26123
2005,Male,73,25574
2005,Male,74,24313
2005,Male,75,23325
2005,Male,76,21715
2005,Male,77,20476
2005,Male,78,19156
2005,Male,79,18168
2005,Male,80,17063
2005,Male,81,15396
2005,Male,82,14566
2005,Male,83,12940
2005,Male,84,12286
2005,Male,85,10780
2005,Male,86,8099
2005,Male,87,6919
2005,Male,88,5793
2005,Male,89,5021
2005,Male,90,4168
2005,Male,91,3735
2005,Male,92,2928
2005,Male,93,2302
2005,Male,94,1611
2005,Male,95,1190
2005,Male,96,846
2005,Male,97,585
2005,Male,98,359
2005,Male,99,575
2005,Female,0,0
2005,Female,1,35586
2005,Female,2,34908
2005,Female,3,35387
2005,Female,4,35606
2005,Female,5,35953
2005,Female,6,37653
2005,Female,7,38396
2005,Female,8,39089
2005,Female,9,40357
2005,Female,10,40177
2005,Female,11,40975
2005,Female,12,41501
2005,Female,13,43450
2005,Female,14,43463
2005,Female,15,43461
2005,Female,16,42880
2005,Female,17,42958
2005,Female,18,41558
2005,Female,19,42024
2005,Female,20,42261
2005,Female,21,42477
2005,Female,22,42681
2005,Female,23,44259
2005,Female,24,44237
2005,Female,25,45437
2005,Female,26,45403
2005,Female,27,45597
2005,Female,28,46681
2005,Female,29,47593
2005,Female,30,48306
2005,Female,31,50158
2005,Female,32,51336
2005,Female,33,53413
2005,Female,34,55971
2005,Female,35,57024
2005,Female,36,59396
2005,Female,37,60882
2005,Female,38,61883
2005,Female,39,63284
2005,Female,40,63580
2005,Female,41,64674
2005,Female,42,63460
2005,Female,43,61482
2005,Female,44,59921
2005,Female,45,58627
2005,Female,46,57351
2005,Female,47,55189
2005,Female,48,54573
2005,Female,49,52957
2005,Female,50,51458
2005,Female,51,50689
2005,Female,52,49362
2005,Female,53,49376
2005,Female,54,47371
2005,Female,55,48651
2005,Female,56,48300
2005,Female,57,49093
2005,Female,58,48030
2005,Female,59,47812
2005,Female,60,45502
2005,Female,61,45179
2005,Female,62,43835
2005,Female,63,41818
2005,Female,64,39397
2005,Female,65,36796
2005,Female,66,35833
2005,Female,67,34827
2005,Female,68,33426
2005,Female,69,33915
2005,Female,70,33477
2005,Female,71,32824
2005,Female,72,32111
2005,Female,73,31632
2005,Female,74,30867
2005,Female,75,30920
2005,Female,76,29919
2005,Female,77,28943
2005,Female,78,27609
2005,Female,79,27413
2005,Female,80,26497
2005,Female,81,25489
2005,Female,82,24051
2005,Female,83,22394
2005,Female,84,21964
2005,Female,85,19652
2005,Female,86,15666
2005,Female,87,13676
2005,Female,88,12368
2005,Female,89,11047
2005,Female,90,9764
2005,Female,91,9414
2005,Female,92,7752
2005,Female,93,6513
2005,Female,94,5112
2005,Female,95,3969
2005,Female,96,2868
2005,Female,97,2162
2005,Female,98,1480
2005,Female,99,2708
2006,Male,0,0
2006,Male,1,37338
2006,Male,2,37389
2006,Male,3,37068
2006,Male,4,37893
2006,Male,5,38046
2006,Male,6,38478
2006,Male,7,40073
2006,Male,8,40722
2006,Male,9,41548
2006,Male,10,42858
2006,Male,11,42597
2006,Male,12,43459
2006,Male,13,43944
2006,Male,14,45744
2006,Male,15,46355
2006,Male,16,46275
2006,Male,17,45611
2006,Male,18,45686
2006,Male,19,44082
2006,Male,20,44260
2006,Male,21,43925
2006,Male,22,44844
2006,Male,23,44213
2006,Male,24,45058
2006,Male,25,45388
2006,Male,26,45818
2006,Male,27,45681
2006,Male,28,46124
2006,Male,29,47065
2006,Male,30,47319
2006,Male,31,48227
2006,Male,32,50298
2006,Male,33,51291
2006,Male,34,53576
2006,Male,35,55697
2006,Male,36,56979
2006,Male,37,58843
2006,Male,38,60843
2006,Male,39,61801
2006,Male,40,64034
2006,Male,41,65092
2006,Male,42,66308
2006,Male,43,64710
2006,Male,44,62517
2006,Male,45,60562
2006,Male,46,59516
2006,Male,47,58089
2006,Male,48,56625
2006,Male,49,55609
2006,Male,50,54721
2006,Male,51,52500
2006,Male,52,50727
2006,Male,53,49055
2006,Male,54,49019
2006,Male,55,47259
2006,Male,56,48884
2006,Male,57,47928
2006,Male,58,48239
2006,Male,59,47442
2006,Male,60,47083
2006,Male,61,45343
2006,Male,62,44093
2006,Male,63,42173
2006,Male,64,40087
2006,Male,65,36726
2006,Male,66,33230
2006,Male,67,32101
2006,Male,68,30879
2006,Male,69,29178
2006,Male,70,28841
2006,Male,71,28304
2006,Male,72,27222
2006,Male,73,25450
2006,Male,74,24923
2006,Male,75,23591
2006,Male,76,22532
2006,Male,77,20933
2006,Male,78,19626
2006,Male,79,18272
2006,Male,80,17254
2006,Male,81,16075
2006,Male,82,14365
2006,Male,83,13484
2006,Male,84,11876
2006,Male,85,11146
2006,Male,86,9679
2006,Male,87,7161
2006,Male,88,6033
2006,Male,89,5003
2006,Male,90,4247
2006,Male,91,3443
2006,Male,92,3032
2006,Male,93,2315
2006,Male,94,1787
2006,Male,95,1224
2006,Male,96,878
2006,Male,97,597
2006,Male,98,411
2006,Male,99,653
2006,Female,0,0
2006,Female,1,35207
2006,Female,2,35628
2006,Female,3,35099
2006,Female,4,35587
2006,Female,5,35789
2006,Female,6,36122
2006,Female,7,37804
2006,Female,8,38543
2006,Female,9,39255
2006,Female,10,40528
2006,Female,11,40307
2006,Female,12,41164
2006,Female,13,41653
2006,Female,14,43651
2006,Female,15,43671
2006,Female,16,43677
2006,Female,17,43240
2006,Female,18,43225
2006,Female,19,42040
2006,Female,20,42719
2006,Female,21,42911
2006,Female,22,43095
2006,Female,23,43374
2006,Female,24,45074
2006,Female,25,45026
2006,Female,26,46364
2006,Female,27,46505
2006,Female,28,46543
2006,Female,29,47578
2006,Female,30,48426
2006,Female,31,48974
2006,Female,32,50835
2006,Female,33,51866
2006,Female,34,53990
2006,Female,35,56386
2006,Female,36,57289
2006,Female,37,59766
2006,Female,38,61199
2006,Female,39,62080
2006,Female,40,63404
2006,Female,41,63762
2006,Female,42,64783
2006,Female,43,63632
2006,Female,44,61529
2006,Female,45,59985
2006,Female,46,58674
2006,Female,47,57421
2006,Female,48,55179
2006,Female,49,54488
2006,Female,50,52792
2006,Female,51,51345
2006,Female,52,50531
2006,Female,53,49239
2006,Female,54,49206
2006,Female,55,47206
2006,Female,56,48434
2006,Female,57,48076
2006,Female,58,48819
2006,Female,59,47728
2006,Female,60,47481
2006,Female,61,45156
2006,Female,62,44845
2006,Female,63,43482
2006,Female,64,41480
2006,Female,65,39039
2006,Female,66,36429
2006,Female,67,35506
2006,Female,68,34545
2006,Female,69,33140
2006,Female,70,33588
2006,Female,71,33114
2006,Female,72,32447
2006,Female,73,31717
2006,Female,74,31204
2006,Female,75,30412
2006,Female,76,30373
2006,Female,77,29326
2006,Female,78,28298
2006,Female,79,26945
2006,Female,80,26657
2006,Female,81,25575
2006,Female,82,24464
2006,Female,83,22956
2006,Female,84,21183
2006,Female,85,20664
2006,Female,86,18294
2006,Female,87,14404
2006,Female,88,12403
2006,Female,89,11119
2006,Female,90,9740
2006,Female,91,8463
2006,Female,92,8001
2006,Female,93,6463
2006,Female,94,5293
2006,Female,95,4133
2006,Female,96,3068
2006,Female,97,2188
2006,Female,98,1611
2006,Female,99,2997
2007,Male,0,0
2007,Male,1,37576
2007,Male,2,37557
2007,Male,3,37644
2007,Male,4,37267
2007,Male,5,38124
2007,Male,6,38309
2007,Male,7,38718
2007,Male,8,40271
2007,Male,9,40911
2007,Male,10,41800
2007,Male,11,43099
2007,Male,12,42835
2007,Male,13,43657
2007,Male,14,44202
2007,Male,15,46024
2007,Male,16,46675
2007,Male,17,46619
2007,Male,18,45850
2007,Male,19,45957
2007,Male,20,44361
2007,Male,21,44688
2007,Male,22,44303
2007,Male,23,45314
2007,Male,24,44772
2007,Male,25,45821
2007,Male,26,46150
2007,Male,27,46705
2007,Male,28,46641
2007,Male,29,47121
2007,Male,30,47927
2007,Male,31,48128
2007,Male,32,49074
2007,Male,33,51049
2007,Male,34,51957
2007,Male,35,54217
2007,Male,36,56238
2007,Male,37,57488
2007,Male,38,59289
2007,Male,39,61218
2007,Male,40,62193
2007,Male,41,64323
2007,Male,42,65318
2007,Male,43,66618
2007,Male,44,64896
2007,Male,45,62714
2007,Male,46,60621
2007,Male,47,59601
2007,Male,48,58154
2007,Male,49,56611
2007,Male,50,55523
2007,Male,51,54658
2007,Male,52,52310
2007,Male,53,50529
2007,Male,54,48868
2007,Male,55,48757
2007,Male,56,46983
2007,Male,57,48461
2007,Male,58,47481
2007,Male,59,47777
2007,Male,60,46967
2007,Male,61,46403
2007,Male,62,44769
2007,Male,63,43486
2007,Male,64,41577
2007,Male,65,39561
2007,Male,66,36045
2007,Male,67,32618
2007,Male,68,31573
2007,Male,69,30340
2007,Male,70,28658
2007,Male,71,28252
2007,Male,72,27704
2007,Male,73,26604
2007,Male,74,24807
2007,Male,75,24226
2007,Male,76,22802
2007,Male,77,21759
2007,Male,78,20075
2007,Male,79,18750
2007,Male,80,17345
2007,Male,81,16315
2007,Male,82,15057
2007,Male,83,13301
2007,Male,84,12406
2007,Male,85,10881
2007,Male,86,10072
2007,Male,87,8643
2007,Male,88,6220
2007,Male,89,5179
2007,Male,90,4239
2007,Male,91,3552
2007,Male,92,2773
2007,Male,93,2473
2007,Male,94,1828
2007,Male,95,1366
2007,Male,96,938
2007,Male,97,634
2007,Male,98,437
2007,Male,99,772
2007,Female,0,0
2007,Female,1,35467
2007,Female,2,35447
2007,Female,3,35923
2007,Female,4,35262
2007,Female,5,35766
2007,Female,6,35934
2007,Female,7,36316
2007,Female,8,38045
2007,Female,9,38759
2007,Female,10,39454
2007,Female,11,40703
2007,Female,12,40458
2007,Female,13,41371
2007,Female,14,41882
2007,Female,15,43889
2007,Female,16,43948
2007,Female,17,44006
2007,Female,18,43433
2007,Female,19,43666
2007,Female,20,42654
2007,Female,21,43461
2007,Female,22,43555
2007,Female,23,43758
2007,Female,24,44181
2007,Female,25,45843
2007,Female,26,46013
2007,Female,27,47358
2007,Female,28,47561
2007,Female,29,47735
2007,Female,30,48559
2007,Female,31,49326
2007,Female,32,49820
2007,Female,33,51413
2007,Female,34,52368
2007,Female,35,54416
2007,Female,36,56820
2007,Female,37,57601
2007,Female,38,60073
2007,Female,39,61381
2007,Female,40,62270
2007,Female,41,63619
2007,Female,42,63927
2007,Female,43,64888
2007,Female,44,63731
2007,Female,45,61651
2007,Female,46,60082
2007,Female,47,58704
2007,Female,48,57411
2007,Female,49,55180
2007,Female,50,54449
2007,Female,51,52681
2007,Female,52,51217
2007,Female,53,50388
2007,Female,54,49009
2007,Female,55,49017
2007,Female,56,46976
2007,Female,57,48129
2007,Female,58,47777
2007,Female,59,48478
2007,Female,60,47406
2007,Female,61,47168
2007,Female,62,44873
2007,Female,63,44503
2007,Female,64,43138
2007,Female,65,41065
2007,Female,66,38726
2007,Female,67,36145
2007,Female,68,35249
2007,Female,69,34209
2007,Female,70,32808
2007,Female,71,33234
2007,Female,72,32738
2007,Female,73,32047
2007,Female,74,31253
2007,Female,75,30722
2007,Female,76,29894
2007,Female,77,29768
2007,Female,78,28635
2007,Female,79,27601
2007,Female,80,26163
2007,Female,81,25815
2007,Female,82,24656
2007,Female,83,23478
2007,Female,84,21844
2007,Female,85,19955
2007,Female,86,19191
2007,Female,87,16927
2007,Female,88,13121
2007,Female,89,11139
2007,Female,90,9846
2007,Female,91,8460
2007,Female,92,7256
2007,Female,93,6701
2007,Female,94,5338
2007,Female,95,4302
2007,Female,96,3260
2007,Female,97,2400
2007,Female,98,1678
2007,Female,99,3459
2008,Male,0,0
2008,Male,1,38092
2008,Male,2,37718
2008,Male,3,38092
2008,Male,4,38127
2008,Male,5,37680
2008,Male,6,38526
2008,Male,7,38690
2008,Male,8,39144
2008,Male,9,40633
2008,Male,10,41269
2008,Male,11,42130
2008,Male,12,43461
2008,Male,13,43165
2008,Male,14,44018
2008,Male,15,44598
2008,Male,16,46431
2008,Male,17,47057
2008,Male,18,47014
2008,Male,19,46260
2008,Male,20,46543
2008,Male,21,45083
2008,Male,22,45469
2008,Male,23,45171
2008,Male,24,46532
2008,Male,25,46057
2008,Male,26,47405
2008,Male,27,47888
2008,Male,28,48786
2008,Male,29,48435
2008,Male,30,48887
2008,Male,31,49613
2008,Male,32,49736
2008,Male,33,50553
2008,Male,34,52446
2008,Male,35,53182
2008,Male,36,55318
2008,Male,37,57238
2008,Male,38,58481
2008,Male,39,60197
2008,Male,40,62084
2008,Male,41,62955
2008,Male,42,65176
2008,Male,43,65926
2008,Male,44,67274
2008,Male,45,65400
2008,Male,46,63234
2008,Male,47,61115
2008,Male,48,59887
2008,Male,49,58322
2008,Male,50,56730
2008,Male,51,55515
2008,Male,52,54654
2008,Male,53,52229
2008,Male,54,50449
2008,Male,55,48611
2008,Male,56,48461
2008,Male,57,46723
2008,Male,58,48132
2008,Male,59,47060
2008,Male,60,47316
2008,Male,61,46407
2008,Male,62,45882
2008,Male,63,44132
2008,Male,64,42906
2008,Male,65,41024
2008,Male,66,38784
2008,Male,67,35460
2008,Male,68,32113
2008,Male,69,31023
2008,Male,70,29816
2008,Male,71,28115
2008,Male,72,27670
2008,Male,73,27010
2008,Male,74,25983
2008,Male,75,24117
2008,Male,76,23526
2008,Male,77,22037
2008,Male,78,20961
2008,Male,79,19264
2008,Male,80,17845
2008,Male,81,16342
2008,Male,82,15339
2008,Male,83,14041
2008,Male,84,12291
2008,Male,85,11320
2008,Male,86,9854
2008,Male,87,8952
2008,Male,88,7539
2008,Male,89,5372
2008,Male,90,4398
2008,Male,91,3527
2008,Male,92,2864
2008,Male,93,2207
2008,Male,94,1973
2008,Male,95,1416
2008,Male,96,1047
2008,Male,97,703
2008,Male,98,473
2008,Male,99,903
2008,Female,0,0
2008,Female,1,36183
2008,Female,2,35461
2008,Female,3,35917
2008,Female,4,36290
2008,Female,5,35647
2008,Female,6,36124
2008,Female,7,36213
2008,Female,8,36677
2008,Female,9,38400
2008,Female,10,39081
2008,Female,11,39775
2008,Female,12,40970
2008,Female,13,40830
2008,Female,14,41641
2008,Female,15,42214
2008,Female,16,44210
2008,Female,17,44323
2008,Female,18,44315
2008,Female,19,43929
2008,Female,20,44538
2008,Female,21,43643
2008,Female,22,44418
2008,Female,23,44645
2008,Female,24,45121
2008,Female,25,45610
2008,Female,26,47445
2008,Female,27,47728
2008,Female,28,49103
2008,Female,29,49216
2008,Female,30,49266
2008,Female,31,49985
2008,Female,32,50524
2008,Female,33,51018
2008,Female,34,52387
2008,Female,35,53266
2008,Female,36,55071
2008,Female,37,57590
2008,Female,38,58223
2008,Female,39,60691
2008,Female,40,61959
2008,Female,41,62732
2008,Female,42,64029
2008,Female,43,64307
2008,Female,44,65336
2008,Female,45,64057
2008,Female,46,61851
2008,Female,47,60270
2008,Female,48,58867
2008,Female,49,57531
2008,Female,50,55246
2008,Female,51,54419
2008,Female,52,52611
2008,Female,53,51070
2008,Female,54,50244
2008,Female,55,48901
2008,Female,56,48742
2008,Female,57,46761
2008,Female,58,47850
2008,Female,59,47501
2008,Female,60,48163
2008,Female,61,47082
2008,Female,62,46893
2008,Female,63,44533
2008,Female,64,44176
2008,Female,65,42786
2008,Female,66,40723
2008,Female,67,38450
2008,Female,68,35846
2008,Female,69,34935
2008,Female,70,33894
2008,Female,71,32497
2008,Female,72,32835
2008,Female,73,32338
2008,Female,74,31593
2008,Female,75,30762
2008,Female,76,30235
2008,Female,77,29321
2008,Female,78,29118
2008,Female,79,27994
2008,Female,80,26804
2008,Female,81,25355
2008,Female,82,24868
2008,Female,83,23538
2008,Female,84,22279
2008,Female,85,20609
2008,Female,86,18679
2008,Female,87,17758
2008,Female,88,15443
2008,Female,89,11807
2008,Female,90,9917
2008,Female,91,8575
2008,Female,92,7222
2008,Female,93,6130
2008,Female,94,5512
2008,Female,95,4288
2008,Female,96,3368
2008,Female,97,2527
2008,Female,98,1841
2008,Female,99,3814
2009,Male,0,0
2009,Male,1,39355
2009,Male,2,38536
2009,Male,3,38356
2009,Male,4,38665
2009,Male,5,38669
2009,Male,6,38137
2009,Male,7,38978
2009,Male,8,39186
2009,Male,9,39601
2009,Male,10,41111
2009,Male,11,41775
2009,Male,12,42564
2009,Male,13,43916
2009,Male,14,43613
2009,Male,15,44559
2009,Male,16,45104
2009,Male,17,46898
2009,Male,18,47497
2009,Male,19,47510
2009,Male,20,46922
2009,Male,21,47432
2009,Male,22,46076
2009,Male,23,46527
2009,Male,24,46678
2009,Male,25,48259
2009,Male,26,47840
2009,Male,27,49431
2009,Male,28,50142
2009,Male,29,50996
2009,Male,30,50536
2009,Male,31,50880
2009,Male,32,51334
2009,Male,33,51350
2009,Male,34,52119
2009,Male,35,53890
2009,Male,36,54418
2009,Male,37,56559
2009,Male,38,58393
2009,Male,39,59600
2009,Male,40,61313
2009,Male,41,63104
2009,Male,42,63876
2009,Male,43,65991
2009,Male,44,66762
2009,Male,45,67961
2009,Male,46,66051
2009,Male,47,63860
2009,Male,48,61593
2009,Male,49,60283
2009,Male,50,58634
2009,Male,51,56984
2009,Male,52,55815
2009,Male,53,54784
2009,Male,54,52288
2009,Male,55,50473
2009,Male,56,48567
2009,Male,57,48333
2009,Male,58,46569
2009,Male,59,47873
2009,Male,60,46752
2009,Male,61,46861
2009,Male,62,46048
2009,Male,63,45416
2009,Male,64,43588
2009,Male,65,42352
2009,Male,66,40289
2009,Male,67,38208
2009,Male,68,34906
2009,Male,69,31557
2009,Male,70,30475
2009,Male,71,29276
2009,Male,72,27541
2009,Male,73,27065
2009,Male,74,26395
2009,Male,75,25270
2009,Male,76,23413
2009,Male,77,22734
2009,Male,78,21189
2009,Male,79,20143
2009,Male,80,18385
2009,Male,81,16954
2009,Male,82,15369
2009,Male,83,14280
2009,Male,84,12992
2009,Male,85,11244
2009,Male,86,10201
2009,Male,87,8789
2009,Male,88,7900
2009,Male,89,6518
2009,Male,90,4574
2009,Male,91,3621
2009,Male,92,2879
2009,Male,93,2286
2009,Male,94,1735
2009,Male,95,1520
2009,Male,96,1080
2009,Male,97,790
2009,Male,98,529
2009,Male,99,1025
2009,Female,0,0
2009,Female,1,36961
2009,Female,2,36733
2009,Female,3,36150
2009,Female,4,36379
2009,Female,5,36763
2009,Female,6,36152
2009,Female,7,36555
2009,Female,8,36667
2009,Female,9,37135
2009,Female,10,38889
2009,Female,11,39496
2009,Female,12,40178
2009,Female,13,41400
2009,Female,14,41288
2009,Female,15,41977
2009,Female,16,42539
2009,Female,17,44651
2009,Female,18,44711
2009,Female,19,44947
2009,Female,20,44854
2009,Female,21,45760
2009,Female,22,44705
2009,Female,23,45701
2009,Female,24,46145
2009,Female,25,46876
2009,Female,26,47371
2009,Female,27,49476
2009,Female,28,49978
2009,Female,29,51117
2009,Female,30,50999
2009,Female,31,50852
2009,Female,32,51500
2009,Female,33,51976
2009,Female,34,52268
2009,Female,35,53455
2009,Female,36,54264
2009,Female,37,55980
2009,Female,38,58488
2009,Female,39,59081
2009,Female,40,61331
2009,Female,41,62674
2009,Female,42,63435
2009,Female,43,64641
2009,Female,44,64770
2009,Female,45,65858
2009,Female,46,64492
2009,Female,47,62235
2009,Female,48,60648
2009,Female,49,59205
2009,Female,50,57755
2009,Female,51,55406
2009,Female,52,54529
2009,Female,53,52692
2009,Female,54,51150
2009,Female,55,50242
2009,Female,56,48767
2009,Female,57,48705
2009,Female,58,46628
2009,Female,59,47650
2009,Female,60,47272
2009,Female,61,47892
2009,Female,62,46824
2009,Female,63,46566
2009,Female,64,44241
2009,Female,65,43843
2009,Female,66,42487
2009,Female,67,40415
2009,Female,68,38177
2009,Female,69,35555
2009,Female,70,34622
2009,Female,71,33574
2009,Female,72,32142
2009,Female,73,32462
2009,Female,74,31935
2009,Female,75,31137
2009,Female,76,30229
2009,Female,77,29669
2009,Female,78,28704
2009,Female,79,28504
2009,Female,80,27255
2009,Female,81,25953
2009,Female,82,24461
2009,Female,83,23822
2009,Female,84,22455
2009,Female,85,21002
2009,Female,86,19162
2009,Female,87,17316
2009,Female,88,16216
2009,Female,89,13908
2009,Female,90,10534
2009,Female,91,8598
2009,Female,92,7359
2009,Female,93,6062
2009,Female,94,4984
2009,Female,95,4458
2009,Female,96,3407
2009,Female,97,2585
2009,Female,98,1895
2009,Female,99,4269
2010,Male,0,0
2010,Male,1,40147
2010,Male,2,39763
2010,Male,3,39103
2010,Male,4,38702
2010,Male,5,39086
2010,Male,6,39064
2010,Male,7,38503
2010,Male,8,39322
2010,Male,9,39524
2010,Male,10,39993
2010,Male,11,41447
2010,Male,12,42217
2010,Male,13,42923
2010,Male,14,44258
2010,Male,15,44013
2010,Male,16,44951
2010,Male,17,45445
2010,Male,18,47264
2010,Male,19,47921
2010,Male,20,48008
2010,Male,21,47575
2010,Male,22,48093
2010,Male,23,46769
2010,Male,24,47600
2010,Male,25,47861
2010,Male,26,49568
2010,Male,27,49303
2010,Male,28,50989
2010,Male,29,51658
2010,Male,30,52525
2010,Male,31,51859
2010,Male,32,52022
2010,Male,33,52584
2010,Male,34,52358
2010,Male,35,53084
2010,Male,36,54719
2010,Male,37,55111
2010,Male,38,57338
2010,Male,39,59045
2010,Male,40,60227
2010,Male,41,61842
2010,Male,42,63642
2010,Male,43,64282
2010,Male,44,66489
2010,Male,45,67171
2010,Male,46,68381
2010,Male,47,66445
2010,Male,48,64091
2010,Male,49,61853
2010,Male,50,60392
2010,Male,51,58720
2010,Male,52,57022
2010,Male,53,55754
2010,Male,54,54712
2010,Male,55,52149
2010,Male,56,50278
2010,Male,57,48431
2010,Male,58,48120
2010,Male,59,46330
2010,Male,60,47539
2010,Male,61,46244
2010,Male,62,46398
2010,Male,63,45600
2010,Male,64,44877
2010,Male,65,43037
2010,Male,66,41583
2010,Male,67,39688
2010,Male,68,37620
2010,Male,69,34377
2010,Male,70,30986
2010,Male,71,29917
2010,Male,72,28678
