Year,Marital status of mother,Age class of mother,Sex of child,Birth order,Age class of father,Count
2004,Other,35-39 years,Boy,Third child,20-24 years,0
2004,Other,40-44 years,Boy,Third child,20-24 years,0
2004,Other,45-49 years,Boy,Third child,20-24 years,0
2004,Other,50 years or older,Boy,Third child,20-24 years,0
2004,Married,Less than 20 years,Boy,Forth child or more,20-24 years,0
2004,Married,20-24 years,Boy,Forth child or more,20-24 years,0
2004,Married,25-29 years,Boy,Forth child or more,20-24 years,0
2004,Married,30-34 years,Boy,Forth child or more,20-24 years,0
2004,Married,35-39 years,Boy,Forth child or more,20-24 years,0
2004,Married,40-44 years,Boy,Forth child or more,20-24 years,0
2004,Married,45-49 years,Boy,Forth child or more,20-24 years,0
2004,Married,50 years or older,Boy,Forth child or more,20-24 years,0
2004,Other,Less than 20 years,Boy,Forth child or more,20-24 years,0
2004,Other,20-24 years,Boy,Forth child or more,20-24 years,0
2004,Other,25-29 years,Boy,Forth child or more,20-24 years,0
2004,Other,30-34 years,Boy,Forth child or more,20-24 years,0
2004,Other,35-39 years,Boy,Forth child or more,20-24 years,0
2004,Other,40-44 years,Boy,Forth child or more,20-24 years,0
2004,Other,45-49 years,Boy,Forth child or more,20-24 years,0
2004,Other,50 years or older,Boy,Forth child or more,20-24 years,0
2004,Married,Less than 20 years,Boy,Mother not married,20-24 years,0
2004,Married,20-24 years,Boy,Mother not married,20-24 years,0
2004,Married,25-29 years,Boy,Mother not married,20-24 years,0
2004,Married,30-34 years,Boy,Mother not married,20-24 years,0
2004,Married,35-39 years,Boy,Mother not married,20-24 years,0
2004,Married,40-44 years,Boy,Mother not married,20-24 years,0
2004,Married,45-49 years,Boy,Mother not married,20-24 years,0
2004,Married,50 years or older,Boy,Mother not married,20-24 years,0
2004,Other,Less than 20 years,Boy,Mother not married,20-24 years,0
2004,Other,20-24 years,Boy,Mother not married,20-24 years,0
2004,Other,25-29 years,Boy,Mother not married,20-24 years,0
2004,Other,30-34 years,Boy,Mother not married,20-24 years,0
2004,Other,35-39 years,Boy,Mother not married,20-24 years,0
2004,Other,40-44 years,Boy,Mother not married,20-24 years,0
2004,Other,45-49 years,Boy,Mother not married,20-24 years,0
2004,Other,50 years or older,Boy,Mother not married,20-24 years,0
2004,Married,Less than 20 years,Girl,First child,20-24 years,86
2004,Married,20-24 years,Girl,First child,20-24 years,673
2004,Married,25-29 years,Girl,First child,20-24 years,163
2004,Married,30-34 years,Girl,First child,20-24 years,28
2004,Married,35-39 years,Girl,First child,20-24 years,9
2004,Married,40-44 years,Girl,First child,20-24 years,1
2004,Married,45-49 years,Girl,First child,20-24 years,0
2004,Married,50 years or older,Girl,First child,20-24 years,0
2004,Other,Less than 20 years,Girl,First child,20-24 years,0
2004,Other,20-24 years,Girl,First child,20-24 years,0
2004,Other,25-29 years,Girl,First child,20-24 years,0
2004,Other,30-34 years,Girl,First child,20-24 years,0
2004,Other,35-39 years,Girl,First child,20-24 years,0
2004,Other,40-44 years,Girl,First child,20-24 years,0
2004,Other,45-49 years,Girl,First child,20-24 years,0
2004,Other,50 years or older,Girl,First child,20-24 years,0
2004,Married,Less than 20 years,Girl,Second child,20-24 years,2
2004,Married,20-24 years,Girl,Second child,20-24 years,141
2004,Married,25-29 years,Girl,Second child,20-24 years,40
2004,Married,30-34 years,Girl,Second child,20-24 years,3
2004,Married,35-39 years,Girl,Second child,20-24 years,0
2004,Married,40-44 years,Girl,Second child,20-24 years,0
2004,Married,45-49 years,Girl,Second child,20-24 years,0
2004,Married,50 years or older,Girl,Second child,20-24 years,0
2004,Other,Less than 20 years,Girl,Second child,20-24 years,0
2004,Other,20-24 years,Girl,Second child,20-24 years,0
2004,Other,25-29 years,Girl,Second child,20-24 years,0
2004,Other,30-34 years,Girl,Second child,20-24 years,0
2004,Other,35-39 years,Girl,Second child,20-24 years,0
2004,Other,40-44 years,Girl,Second child,20-24 years,0
2004,Other,45-49 years,Girl,Second child,20-24 years,0
2004,Other,50 years or older,Girl,Second child,20-24 years,0
2004,Married,Less than 20 years,Girl,Third child,20-24 years,0
2004,Married,20-24 years,Girl,Third child,20-24 years,7
2004,Married,25-29 years,Girl,Third child,20-24 years,2
2004,Married,30-34 years,Girl,Third child,20-24 years,1
2004,Married,35-39 years,Girl,Third child,20-24 years,0
2004,Married,40-44 years,Girl,Third child,20-24 years,0
2004,Married,45-49 years,Girl,Third child,20-24 years,0
2004,Married,50 years or older,Girl,Third child,20-24 years,0
2004,Other,Less than 20 years,Girl,Third child,20-24 years,0
2004,Other,20-24 years,Girl,Third child,20-24 years,0
2004,Other,25-29 years,Girl,Third child,20-24 years,0
2004,Other,30-34 years,Girl,Third child,20-24 years,0
2004,Other,35-39 years,Girl,Third child,20-24 years,0
2004,Other,40-44 years,Girl,Third child,20-24 years,0
2004,Other,45-49 years,Girl,Third child,20-24 years,0
2004,Other,50 years or older,Girl,Third child,20-24 years,0
2004,Married,Less than 20 years,Girl,Forth child or more,20-24 years,0
2004,Married,20-24 years,Girl,Forth child or more,20-24 years,2
2004,Married,25-29 years,Girl,Forth child or more,20-24 years,1
2004,Married,30-34 years,Girl,Forth child or more,20-24 years,0
2004,Married,35-39 years,Girl,Forth child or more,20-24 years,0
2004,Married,40-44 years,Girl,Forth child or more,20-24 years,0
2004,Married,45-49 years,Girl,Forth child or more,20-24 years,0
2004,Married,50 years or older,Girl,Forth child or more,20-24 years,0
2004,Other,Less than 20 years,Girl,Forth child or more,20-24 years,0
2004,Other,20-24 years,Girl,Forth child or more,20-24 years,0
2004,Other,25-29 years,Girl,Forth child or more,20-24 years,0
2004,Other,30-34 years,Girl,Forth child or more,20-24 years,0
2004,Other,35-39 years,Girl,Forth child or more,20-24 years,0
2004,Other,40-44 years,Girl,Forth child or more,20-24 years,0
2004,Other,45-49 years,Girl,Forth child or more,20-24 years,0
2004,Other,50 years or older,Girl,Forth child or more,20-24 years,0
2004,Married,Less than 20 years,Girl,Mother not married,20-24 years,0
2004,Married,20-24 years,Girl,Mother not married,20-24 years,0
2004,Married,25-29 years,Girl,Mother not married,20-24 years,0
2004,Married,30-34 years,Girl,Mother not married,20-24 years,0
2004,Married,35-39 years,Girl,Mother not married,20-24 years,0
2004,Married,40-44 years,Girl,Mother not married,20-24 years,0
2004,Married,45-49 years,Girl,Mother not married,20-24 years,0
2004,Married,50 years or older,Girl,Mother not married,20-24 years,0
2004,Other,Less than 20 years,Girl,Mother not married,20-24 years,0
2004,Other,20-24 years,Girl,Mother not married,20-24 years,0
2004,Other,25-29 years,Girl,Mother not married,20-24 years,0
2004,Other,30-34 years,Girl,Mother not married,20-24 years,0
2004,Other,35-39 years,Girl,Mother not married,20-24 years,0
2004,Other,40-44 years,Girl,Mother not married,20-24 years,0
2004,Other,45-49 years,Girl,Mother not married,20-24 years,0
2004,Other,50 years or older,Girl,Mother not married,20-24 years,0
2005,Married,Less than 20 years,Boy,First child,20-24 years,86
2005,Married,20-24 years,Boy,First child,20-24 years,672
2005,Married,25-29 years,Boy,First child,20-24 years,136
2005,Married,30-34 years,Boy,First child,20-24 years,28
2005,Married,35-39 years,Boy,First child,20-24 years,8
2005,Married,40-44 years,Boy,First child,20-24 years,4
2005,Married,45-49 years,Boy,First child,20-24 years,0
2005,Married,50 years or older,Boy,First child,20-24 years,0
2005,Other,Less than 20 years,Boy,First child,20-24 years,0
2005,Other,20-24 years,Boy,First child,20-24 years,0
2005,Other,25-29 years,Boy,First child,20-24 years,0
2005,Other,30-34 years,Boy,First child,20-24 years,0
2005,Other,35-39 years,Boy,First child,20-24 years,0
2005,Other,40-44 years,Boy,First child,20-24 years,0
2005,Other,45-49 years,Boy,First child,20-24 years,0
2005,Other,50 years or older,Boy,First child,20-24 years,0
2005,Married,Less than 20 years,Boy,Second child,20-24 years,3
2005,Married,20-24 years,Boy,Second child,20-24 years,128
2005,Married,25-29 years,Boy,Second child,20-24 years,60
2005,Married,30-34 years,Boy,Second child,20-24 years,6
2005,Married,35-39 years,Boy,Second child,20-24 years,1
2005,Married,40-44 years,Boy,Second child,20-24 years,1
2005,Married,45-49 years,Boy,Second child,20-24 years,0
2005,Married,50 years or older,Boy,Second child,20-24 years,0
2005,Other,Less than 20 years,Boy,Second child,20-24 years,0
2005,Other,20-24 years,Boy,Second child,20-24 years,0
2005,Other,25-29 years,Boy,Second child,20-24 years,0
2005,Other,30-34 years,Boy,Second child,20-24 years,0
2005,Other,35-39 years,Boy,Second child,20-24 years,0
2005,Other,40-44 years,Boy,Second child,20-24 years,0
2005,Other,45-49 years,Boy,Second child,20-24 years,0
2005,Other,50 years or older,Boy,Second child,20-24 years,0
2005,Married,Less than 20 years,Boy,Third child,20-24 years,0
2005,Married,20-24 years,Boy,Third child,20-24 years,5
2005,Married,25-29 years,Boy,Third child,20-24 years,5
2005,Married,30-34 years,Boy,Third child,20-24 years,0
2005,Married,35-39 years,Boy,Third child,20-24 years,0
2005,Married,40-44 years,Boy,Third child,20-24 years,0
2005,Married,45-49 years,Boy,Third child,20-24 years,0
2005,Married,50 years or older,Boy,Third child,20-24 years,0
2005,Other,Less than 20 years,Boy,Third child,20-24 years,0
2005,Other,20-24 years,Boy,Third child,20-24 years,0
2005,Other,25-29 years,Boy,Third child,20-24 years,0
2005,Other,30-34 years,Boy,Third child,20-24 years,0
2005,Other,35-39 years,Boy,Third child,20-24 years,0
2005,Other,40-44 years,Boy,Third child,20-24 years,0
2005,Other,45-49 years,Boy,Third child,20-24 years,0
2005,Other,50 years or older,Boy,Third child,20-24 years,0
2005,Married,Less than 20 years,Boy,Forth child or more,20-24 years,0
2005,Married,20-24 years,Boy,Forth child or more,20-24 years,0
2005,Married,25-29 years,Boy,Forth child or more,20-24 years,1
2005,Married,30-34 years,Boy,Forth child or more,20-24 years,0
2005,Married,35-39 years,Boy,Forth child or more,20-24 years,0
2005,Married,40-44 years,Boy,Forth child or more,20-24 years,0
2005,Married,45-49 years,Boy,Forth child or more,20-24 years,0
2005,Married,50 years or older,Boy,Forth child or more,20-24 years,0
2005,Other,Less than 20 years,Boy,Forth child or more,20-24 years,0
2005,Other,20-24 years,Boy,Forth child or more,20-24 years,0
2005,Other,25-29 years,Boy,Forth child or more,20-24 years,0
2005,Other,30-34 years,Boy,Forth child or more,20-24 years,0
2005,Other,35-39 years,Boy,Forth child or more,20-24 years,0
2005,Other,40-44 years,Boy,Forth child or more,20-24 years,0
2005,Other,45-49 years,Boy,Forth child or more,20-24 years,0
2005,Other,50 years or older,Boy,Forth child or more,20-24 years,0
2005,Married,Less than 20 years,Boy,Mother not married,20-24 years,0
2005,Married,20-24 years,Boy,Mother not married,20-24 years,0
2005,Married,25-29 years,Boy,Mother not married,20-24 years,0
2005,Married,30-34 years,Boy,Mother not married,20-24 years,0
2005,Married,35-39 years,Boy,Mother not married,20-24 years,0
2005,Married,40-44 years,Boy,Mother not married,20-24 years,0
2005,Married,45-49 years,Boy,Mother not married,20-24 years,0
2005,Married,50 years or older,Boy,Mother not married,20-24 years,0
2005,Other,Less than 20 years,Boy,Mother not married,20-24 years,0
2005,Other,20-24 years,Boy,Mother not married,20-24 years,0
2005,Other,25-29 years,Boy,Mother not married,20-24 years,0
2005,Other,30-34 years,Boy,Mother not married,20-24 years,0
2005,Other,35-39 years,Boy,Mother not married,20-24 years,0
2005,Other,40-44 years,Boy,Mother not married,20-24 years,0
2005,Other,45-49 years,Boy,Mother not married,20-24 years,0
2005,Other,50 years or older,Boy,Mother not married,20-24 years,0
2005,Married,Less than 20 years,Girl,First child,20-24 years,57
2005,Married,20-24 years,Girl,First child,20-24 years,633
2005,Married,25-29 years,Girl,First child,20-24 years,133
2005,Married,30-34 years,Girl,First child,20-24 years,40
2005,Married,35-39 years,Girl,First child,20-24 years,6
2005,Married,40-44 years,Girl,First child,20-24 years,4
2005,Married,45-49 years,Girl,First child,20-24 years,0
2005,Married,50 years or older,Girl,First child,20-24 years,0
2005,Other,Less than 20 years,Girl,First child,20-24 years,0
2005,Other,20-24 years,Girl,First child,20-24 years,0
2005,Other,25-29 years,Girl,First child,20-24 years,0
2005,Other,30-34 years,Girl,First child,20-24 years,0
2005,Other,35-39 years,Girl,First child,20-24 years,0
2005,Other,40-44 years,Girl,First child,20-24 years,0
2005,Other,45-49 years,Girl,First child,20-24 years,0
2005,Other,50 years or older,Girl,First child,20-24 years,0
2005,Married,Less than 20 years,Girl,Second child,20-24 years,6
2005,Married,20-24 years,Girl,Second child,20-24 years,126
2005,Married,25-29 years,Girl,Second child,20-24 years,45
2005,Married,30-34 years,Girl,Second child,20-24 years,8
2005,Married,35-39 years,Girl,Second child,20-24 years,2
2005,Married,40-44 years,Girl,Second child,20-24 years,1
2005,Married,45-49 years,Girl,Second child,20-24 years,0
2005,Married,50 years or older,Girl,Second child,20-24 years,0
2005,Other,Less than 20 years,Girl,Second child,20-24 years,0
2005,Other,20-24 years,Girl,Second child,20-24 years,0
2005,Other,25-29 years,Girl,Second child,20-24 years,0
2005,Other,30-34 years,Girl,Second child,20-24 years,0
2005,Other,35-39 years,Girl,Second child,20-24 years,0
2005,Other,40-44 years,Girl,Second child,20-24 years,0
2005,Other,45-49 years,Girl,Second child,20-24 years,0
2005,Other,50 years or older,Girl,Second child,20-24 years,0
2005,Married,Less than 20 years,Girl,Third child,20-24 years,0
2005,Married,20-24 years,Girl,Third child,20-24 years,9
2005,Married,25-29 years,Girl,Third child,20-24 years,5
2005,Married,30-34 years,Girl,Third child,20-24 years,2
2005,Married,35-39 years,Girl,Third child,20-24 years,0
2005,Married,40-44 years,Girl,Third child,20-24 years,0
2005,Married,45-49 years,Girl,Third child,20-24 years,0
2005,Married,50 years or older,Girl,Third child,20-24 years,0
2005,Other,Less than 20 years,Girl,Third child,20-24 years,0
2005,Other,20-24 years,Girl,Third child,20-24 years,0
2005,Other,25-29 years,Girl,Third child,20-24 years,0
2005,Other,30-34 years,Girl,Third child,20-24 years,0
2005,Other,35-39 years,Girl,Third child,20-24 years,0
2005,Other,40-44 years,Girl,Third child,20-24 years,0
2005,Other,45-49 years,Girl,Third child,20-24 years,0
2005,Other,50 years or older,Girl,Third child,20-24 years,0
2005,Married,Less than 20 years,Girl,Forth child or more,20-24 years,0
2005,Married,20-24 years,Girl,Forth child or more,20-24 years,1
2005,Married,25-29 years,Girl,Forth child or more,20-24 years,0
2005,Married,30-34 years,Girl,Forth child or more,20-24 years,0
2005,Married,35-39 years,Girl,Forth child or more,20-24 years,0
2005,Married,40-44 years,Girl,Forth child or more,20-24 years,0
2005,Married,45-49 years,Girl,Forth child or more,20-24 years,0
2005,Married,50 years or older,Girl,Forth child or more,20-24 years,0
2005,Other,Less than 20 years,Girl,Forth child or more,20-24 years,0
2005,Other,20-24 years,Girl,Forth child or more,20-24 years,0
2005,Other,25-29 years,Girl,Forth child or more,20-24 years,0
2005,Other,30-34 years,Girl,Forth child or more,20-24 years,0
2005,Other,35-39 years,Girl,Forth child or more,20-24 years,0
2005,Other,40-44 years,Girl,Forth child or more,20-24 years,0
2005,Other,45-49 years,Girl,Forth child or more,20-24 years,0
2005,Other,50 years or older,Girl,Forth child or more,20-24 years,0
2005,Married,Less than 20 years,Girl,Mother not married,20-24 years,0
2005,Married,20-24 years,Girl,Mother not married,20-24 years,0
2005,Married,25-29 years,Girl,Mother not married,20-24 years,0
2005,Married,30-34 years,Girl,Mother not married,20-24 years,0
2005,Married,35-39 years,Girl,Mother not married,20-24 years,0
2005,Married,40-44 years,Girl,Mother not married,20-24 years,0
2005,Married,45-49 years,Girl,Mother not married,20-24 years,0
2005,Married,50 years or older,Girl,Mother not married,20-24 years,0
2005,Other,Less than 20 years,Girl,Mother not married,20-24 years,0
2005,Other,20-24 years,Girl,Mother not married,20-24 years,0
2005,Other,25-29 years,Girl,Mother not married,20-24 years,0
2005,Other,30-34 years,Girl,Mother not married,20-24 years,0
2005,Other,35-39 years,Girl,Mother not married,20-24 years,0
2005,Other,40-44 years,Girl,Mother not married,20-24 years,0
2005,Other,45-49 years,Girl,Mother not married,20-24 years,0
2005,Other,50 years or older,Girl,Mother not married,20-24 years,0
2006,Married,Less than 20 years,Boy,First child,20-24 years,84
2006,Married,20-24 years,Boy,First child,20-24 years,642
2006,Married,25-29 years,Boy,First child,20-24 years,142
2006,Married,30-34 years,Boy,First child,20-24 years,17
2006,Married,35-39 years,Boy,First child,20-24 years,7
2006,Married,40-44 years,Boy,First child,20-24 years,2
2006,Married,45-49 years,Boy,First child,20-24 years,0
2006,Married,50 years or older,Boy,First child,20-24 years,0
2006,Other,Less than 20 years,Boy,First child,20-24 years,0
2006,Other,20-24 years,Boy,First child,20-24 years,0
2006,Other,25-29 years,Boy,First child,20-24 years,0
2006,Other,30-34 years,Boy,First child,20-24 years,0
2006,Other,35-39 years,Boy,First child,20-24 years,0
2006,Other,40-44 years,Boy,First child,20-24 years,0
2006,Other,45-49 years,Boy,First child,20-24 years,0
2006,Other,50 years or older,Boy,First child,20-24 years,0
2006,Married,Less than 20 years,Boy,Second child,20-24 years,1
2006,Married,20-24 years,Boy,Second child,20-24 years,129
2006,Married,25-29 years,Boy,Second child,20-24 years,42
2006,Married,30-34 years,Boy,Second child,20-24 years,5
2006,Married,35-39 years,Boy,Second child,20-24 years,0
2006,Married,40-44 years,Boy,Second child,20-24 years,0
2006,Married,45-49 years,Boy,Second child,20-24 years,0
2006,Married,50 years or older,Boy,Second child,20-24 years,0
2006,Other,Less than 20 years,Boy,Second child,20-24 years,0
2006,Other,20-24 years,Boy,Second child,20-24 years,0
2006,Other,25-29 years,Boy,Second child,20-24 years,0
2006,Other,30-34 years,Boy,Second child,20-24 years,0
2006,Other,35-39 years,Boy,Second child,20-24 years,0
2006,Other,40-44 years,Boy,Second child,20-24 years,0
2006,Other,45-49 years,Boy,Second child,20-24 years,0
2006,Other,50 years or older,Boy,Second child,20-24 years,0
2006,Married,Less than 20 years,Boy,Third child,20-24 years,0
2006,Married,20-24 years,Boy,Third child,20-24 years,9
2006,Married,25-29 years,Boy,Third child,20-24 years,1
2006,Married,30-34 years,Boy,Third child,20-24 years,0
2006,Married,35-39 years,Boy,Third child,20-24 years,0
2006,Married,40-44 years,Boy,Third child,20-24 years,0
2006,Married,45-49 years,Boy,Third child,20-24 years,0
2006,Married,50 years or older,Boy,Third child,20-24 years,0
2006,Other,Less than 20 years,Boy,Third child,20-24 years,0
2006,Other,20-24 years,Boy,Third child,20-24 years,0
2006,Other,25-29 years,Boy,Third child,20-24 years,0
2006,Other,30-34 years,Boy,Third child,20-24 years,0
2006,Other,35-39 years,Boy,Third child,20-24 years,0
2006,Other,40-44 years,Boy,Third child,20-24 years,0
2006,Other,45-49 years,Boy,Third child,20-24 years,0
2006,Other,50 years or older,Boy,Third child,20-24 years,0
2006,Married,Less than 20 years,Boy,Forth child or more,20-24 years,0
2006,Married,20-24 years,Boy,Forth child or more,20-24 years,1
2006,Married,25-29 years,Boy,Forth child or more,20-24 years,1
2006,Married,30-34 years,Boy,Forth child or more,20-24 years,0
2006,Married,35-39 years,Boy,Forth child or more,20-24 years,1
2006,Married,40-44 years,Boy,Forth child or more,20-24 years,0
2006,Married,45-49 years,Boy,Forth child or more,20-24 years,0
2006,Married,50 years or older,Boy,Forth child or more,20-24 years,0
2006,Other,Less than 20 years,Boy,Forth child or more,20-24 years,0
2006,Other,20-24 years,Boy,Forth child or more,20-24 years,0
2006,Other,25-29 years,Boy,Forth child or more,20-24 years,0
2006,Other,30-34 years,Boy,Forth child or more,20-24 years,0
2006,Other,35-39 years,Boy,Forth child or more,20-24 years,0
2006,Other,40-44 years,Boy,Forth child or more,20-24 years,0
2006,Other,45-49 years,Boy,Forth child or more,20-24 years,0
2006,Other,50 years or older,Boy,Forth child or more,20-24 years,0
2006,Married,Less than 20 years,Boy,Mother not married,20-24 years,0
2006,Married,20-24 years,Boy,Mother not married,20-24 years,0
2006,Married,25-29 years,Boy,Mother not married,20-24 years,0
2006,Married,30-34 years,Boy,Mother not married,20-24 years,0
2006,Married,35-39 years,Boy,Mother not married,20-24 years,0
2006,Married,40-44 years,Boy,Mother not married,20-24 years,0
2006,Married,45-49 years,Boy,Mother not married,20-24 years,0
2006,Married,50 years or older,Boy,Mother not married,20-24 years,0
2006,Other,Less than 20 years,Boy,Mother not married,20-24 years,0
2006,Other,20-24 years,Boy,Mother not married,20-24 years,0
2006,Other,25-29 years,Boy,Mother not married,20-24 years,0
2006,Other,30-34 years,Boy,Mother not married,20-24 years,0
2006,Other,35-39 years,Boy,Mother not married,20-24 years,0
2006,Other,40-44 years,Boy,Mother not married,20-24 years,0
2006,Other,45-49 years,Boy,Mother not married,20-24 years,0
2006,Other,50 years or older,Boy,Mother not married,20-24 years,0
2006,Married,Less than 20 years,Girl,First child,20-24 years,62
2006,Married,20-24 years,Girl,First child,20-24 years,588
2006,Married,25-29 years,Girl,First child,20-24 years,126
2006,Married,30-34 years,Girl,First child,20-24 years,24
2006,Married,35-39 years,Girl,First child,20-24 years,7
2006,Married,40-44 years,Girl,First child,20-24 years,3
2006,Married,45-49 years,Girl,First child,20-24 years,0
2006,Married,50 years or older,Girl,First child,20-24 years,0
2006,Other,Less than 20 years,Girl,First child,20-24 years,0
2006,Other,20-24 years,Girl,First child,20-24 years,0
2006,Other,25-29 years,Girl,First child,20-24 years,0
2006,Other,30-34 years,Girl,First child,20-24 years,0
2006,Other,35-39 years,Girl,First child,20-24 years,0
2006,Other,40-44 years,Girl,First child,20-24 years,0
2006,Other,45-49 years,Girl,First child,20-24 years,0
2006,Other,50 years or older,Girl,First child,20-24 years,0
2006,Married,Less than 20 years,Girl,Second child,20-24 years,5
2006,Married,20-24 years,Girl,Second child,20-24 years,95
2006,Married,25-29 years,Girl,Second child,20-24 years,47
2006,Married,30-34 years,Girl,Second child,20-24 years,7
2006,Married,35-39 years,Girl,Second child,20-24 years,1
2006,Married,40-44 years,Girl,Second child,20-24 years,1
2006,Married,45-49 years,Girl,Second child,20-24 years,0
2006,Married,50 years or older,Girl,Second child,20-24 years,0
2006,Other,Less than 20 years,Girl,Second child,20-24 years,0
2006,Other,20-24 years,Girl,Second child,20-24 years,0
2006,Other,25-29 years,Girl,Second child,20-24 years,0
2006,Other,30-34 years,Girl,Second child,20-24 years,0
2006,Other,35-39 years,Girl,Second child,20-24 years,0
2006,Other,40-44 years,Girl,Second child,20-24 years,0
2006,Other,45-49 years,Girl,Second child,20-24 years,0
2006,Other,50 years or older,Girl,Second child,20-24 years,0
2006,Married,Less than 20 years,Girl,Third child,20-24 years,0
2006,Married,20-24 years,Girl,Third child,20-24 years,3
2006,Married,25-29 years,Girl,Third child,20-24 years,4
2006,Married,30-34 years,Girl,Third child,20-24 years,0
2006,Married,35-39 years,Girl,Third child,20-24 years,0
2006,Married,40-44 years,Girl,Third child,20-24 years,0
2006,Married,45-49 years,Girl,Third child,20-24 years,0
2006,Married,50 years or older,Girl,Third child,20-24 years,0
2006,Other,Less than 20 years,Girl,Third child,20-24 years,0
2006,Other,20-24 years,Girl,Third child,20-24 years,0
2006,Other,25-29 years,Girl,Third child,20-24 years,0
2006,Other,30-34 years,Girl,Third child,20-24 years,0
2006,Other,35-39 years,Girl,Third child,20-24 years,0
2006,Other,40-44 years,Girl,Third child,20-24 years,0
2006,Other,45-49 years,Girl,Third child,20-24 years,0
2006,Other,50 years or older,Girl,Third child,20-24 years,0
2006,Married,Less than 20 years,Girl,Forth child or more,20-24 years,0
2006,Married,20-24 years,Girl,Forth child or more,20-24 years,2
2006,Married,25-29 years,Girl,Forth child or more,20-24 years,0
2006,Married,30-34 years,Girl,Forth child or more,20-24 years,1
2006,Married,35-39 years,Girl,Forth child or more,20-24 years,0
2006,Married,40-44 years,Girl,Forth child or more,20-24 years,0
2006,Married,45-49 years,Girl,Forth child or more,20-24 years,0
2006,Married,50 years or older,Girl,Forth child or more,20-24 years,0
2006,Other,Less than 20 years,Girl,Forth child or more,20-24 years,0
2006,Other,20-24 years,Girl,Forth child or more,20-24 years,0
2006,Other,25-29 years,Girl,Forth child or more,20-24 years,0
2006,Other,30-34 years,Girl,Forth child or more,20-24 years,0
2006,Other,35-39 years,Girl,Forth child or more,20-24 years,0
2006,Other,40-44 years,Girl,Forth child or more,20-24 years,0
2006,Other,45-49 years,Girl,Forth child or more,20-24 years,0
2006,Other,50 years or older,Girl,Forth child or more,20-24 years,0
2006,Married,Less than 20 years,Girl,Mother not married,20-24 years,0
2006,Married,20-24 years,Girl,Mother not married,20-24 years,0
2006,Married,25-29 years,Girl,Mother not married,20-24 years,0
2006,Married,30-34 years,Girl,Mother not married,20-24 years,0
2006,Married,35-39 years,Girl,Mother not married,20-24 years,0
2006,Married,40-44 years,Girl,Mother not married,20-24 years,0
2006,Married,45-49 years,Girl,Mother not married,20-24 years,0
2006,Married,50 years or older,Girl,Mother not married,20-24 years,0
2006,Other,Less than 20 years,Girl,Mother not married,20-24 years,0
2006,Other,20-24 years,Girl,Mother not married,20-24 years,0
2006,Other,25-29 years,Girl,Mother not married,20-24 years,0
2006,Other,30-34 years,Girl,Mother not married,20-24 years,0
2006,Other,35-39 years,Girl,Mother not married,20-24 years,0
2006,Other,40-44 years,Girl,Mother not married,20-24 years,0
2006,Other,45-49 years,Girl,Mother not married,20-24 years,0
