Year,Sex,Marital status,Age,Count
2017,Female,Widowed,0,0
2017,Female,Divorced,0,0
2017,Female,Unmarried,0,0
2017,Female,In a registered partnership,0,0
2017,Female,Partnership dissolved,0,0
2018,Male,Single,0,142
2018,Male,Married,0,0
2018,Male,Widowed,0,0
2018,Male,Divorced,0,0
2018,Male,Unmarried,0,0
2018,Male,In a registered partnership,0,0
2018,Male,Partnership dissolved,0,0
2018,Female,Single,0,125
2018,Female,Married,0,0
2018,Female,Widowed,0,0
2018,Female,Divorced,0,0
2018,Female,Unmarried,0,0
2018,Female,In a registered partnership,0,0
2018,Female,Partnership dissolved,0,0
2019,Male,Single,0,138
2019,Male,Married,0,0
2019,Male,Widowed,0,0
2019,Male,Divorced,0,0
2019,Male,Unmarried,0,0
2019,Male,In a registered partnership,0,0
2019,Male,Partnership dissolved,0,0
2019,Female,Single,0,125
2019,Female,Married,0,0
2019,Female,Widowed,0,0
2019,Female,Divorced,0,0
2019,Female,Unmarried,0,0
2019,Female,In a registered partnership,0,0
2019,Female,Partnership dissolved,0,0
2020,Male,Single,0,164
2020,Male,Married,0,0
2020,Male,Widowed,0,0
2020,Male,Divorced,0,0
2020,Male,Unmarried,0,0
2020,Male,In a registered partnership,0,0
2020,Male,Partnership dissolved,0,0
2020,Female,Single,0,129
2020,Female,Married,0,0
2020,Female,Widowed,0,0
2020,Female,Divorced,0,0
2020,Female,Unmarried,0,0
2020,Female,In a registered partnership,0,0
2020,Female,Partnership dissolved,0,0
2021,Male,Single,0,151
2021,Male,Married,0,0
2021,Male,Widowed,0,0
2021,Male,Divorced,0,0
2021,Male,Unmarried,0,0
2021,Male,In a registered partnership,0,0
2021,Male,Partnership dissolved,0,0
2021,Female,Single,0,110
2021,Female,Married,0,0
2021,Female,Widowed,0,0
2021,Female,Divorced,0,0
2021,Female,Unmarried,0,0
2021,Female,In a registered partnership,0,0
2021,Female,Partnership dissolved,0,0
2004,Male,Single,1,33
2004,Male,Married,1,0
2004,Male,Widowed,1,0
2004,Male,Divorced,1,0
2004,Male,Unmarried,1,0
2004,Male,In a registered partnership,1,0
2004,Male,Partnership dissolved,1,0
2004,Female,Single,1,22
2004,Female,Married,1,0
2004,Female,Widowed,1,0
2004,Female,Divorced,1,0
2004,Female,Unmarried,1,0
2004,Female,In a registered partnership,1,0
2004,Female,Partnership dissolved,1,0
2005,Male,Single,1,19
2005,Male,Married,1,0
2005,Male,Widowed,1,0
2005,Male,Divorced,1,0
2005,Male,Unmarried,1,0
2005,Male,In a registered partnership,1,0
2005,Male,Partnership dissolved,1,0
2005,Female,Single,1,16
2005,Female,Married,1,0
2005,Female,Widowed,1,0
2005,Female,Divorced,1,0
2005,Female,Unmarried,1,0
2005,Female,In a registered partnership,1,0
2005,Female,Partnership dissolved,1,0
2006,Male,Single,1,29
2006,Male,Married,1,0
2006,Male,Widowed,1,0
2006,Male,Divorced,1,0
2006,Male,Unmarried,1,0
2006,Male,In a registered partnership,1,0
2006,Male,Partnership dissolved,1,0
2006,Female,Single,1,18
2006,Female,Married,1,0
2006,Female,Widowed,1,0
2006,Female,Divorced,1,0
2006,Female,Unmarried,1,0
2006,Female,In a registered partnership,1,0
2006,Female,Partnership dissolved,1,0
2007,Male,Single,1,15
2007,Male,Married,1,0
2007,Male,Widowed,1,0
2007,Male,Divorced,1,0
2007,Male,Unmarried,1,0
2007,Male,In a registered partnership,1,0
2007,Male,Partnership dissolved,1,0
2007,Female,Single,1,23
2007,Female,Married,1,0
2007,Female,Widowed,1,0
2007,Female,Divorced,1,0
2007,Female,Unmarried,1,0
2007,Female,In a registered partnership,1,0
2007,Female,Partnership dissolved,1,0
2008,Male,Single,1,21
2008,Male,Married,1,0
2008,Male,Widowed,1,0
2008,Male,Divorced,1,0
2008,Male,Unmarried,1,0
2008,Male,In a registered partnership,1,0
2008,Male,Partnership dissolved,1,0
2008,Female,Single,1,4
2008,Female,Married,1,0
2008,Female,Widowed,1,0
2008,Female,Divorced,1,0
2008,Female,Unmarried,1,0
2008,Female,In a registered partnership,1,0
2008,Female,Partnership dissolved,1,0
2009,Male,Single,1,12
2009,Male,Married,1,0
2009,Male,Widowed,1,0
2009,Male,Divorced,1,0
2009,Male,Unmarried,1,0
2009,Male,In a registered partnership,1,0
2009,Male,Partnership dissolved,1,0
2009,Female,Single,1,20
2009,Female,Married,1,0
2009,Female,Widowed,1,0
2009,Female,Divorced,1,0
2009,Female,Unmarried,1,0
2009,Female,In a registered partnership,1,0
2009,Female,Partnership dissolved,1,0
2010,Male,Single,1,14
2010,Male,Married,1,0
2010,Male,Widowed,1,0
2010,Male,Divorced,1,0
2010,Male,Unmarried,1,0
2010,Male,In a registered partnership,1,0
2010,Male,Partnership dissolved,1,0
2010,Female,Single,1,21
2010,Female,Married,1,0
2010,Female,Widowed,1,0
2010,Female,Divorced,1,0
2010,Female,Unmarried,1,0
2010,Female,In a registered partnership,1,0
2010,Female,Partnership dissolved,1,0
2011,Male,Single,1,19
2011,Male,Married,1,0
2011,Male,Widowed,1,0
2011,Male,Divorced,1,0
2011,Male,Unmarried,1,0
2011,Male,In a registered partnership,1,0
2011,Male,Partnership dissolved,1,0
2011,Female,Single,1,10
2011,Female,Married,1,0
2011,Female,Widowed,1,0
2011,Female,Divorced,1,0
2011,Female,Unmarried,1,0
2011,Female,In a registered partnership,1,0
2011,Female,Partnership dissolved,1,0
2012,Male,Single,1,20
2012,Male,Married,1,0
2012,Male,Widowed,1,0
2012,Male,Divorced,1,0
2012,Male,Unmarried,1,0
2012,Male,In a registered partnership,1,0
2012,Male,Partnership dissolved,1,0
2012,Female,Single,1,13
2012,Female,Married,1,0
2012,Female,Widowed,1,0
2012,Female,Divorced,1,0
2012,Female,Unmarried,1,0
2012,Female,In a registered partnership,1,0
2012,Female,Partnership dissolved,1,0
2013,Male,Single,1,20
2013,Male,Married,1,0
2013,Male,Widowed,1,0
2013,Male,Divorced,1,0
2013,Male,Unmarried,1,0
2013,Male,In a registered partnership,1,0
2013,Male,Partnership dissolved,1,0
2013,Female,Single,1,11
2013,Female,Married,1,0
2013,Female,Widowed,1,0
2013,Female,Divorced,1,0
2013,Female,Unmarried,1,0
2013,Female,In a registered partnership,1,0
2013,Female,Partnership dissolved,1,0
2014,Male,Single,1,20
2014,Male,Married,1,0
2014,Male,Widowed,1,0
2014,Male,Divorced,1,0
2014,Male,Unmarried,1,0
2014,Male,In a registered partnership,1,0
2014,Male,Partnership dissolved,1,0
2014,Female,Single,1,14
2014,Female,Married,1,0
2014,Female,Widowed,1,0
2014,Female,Divorced,1,0
2014,Female,Unmarried,1,0
2014,Female,In a registered partnership,1,0
2014,Female,Partnership dissolved,1,0
2015,Male,Single,1,27
2015,Male,Married,1,0
2015,Male,Widowed,1,0
2015,Male,Divorced,1,0
2015,Male,Unmarried,1,0
2015,Male,In a registered partnership,1,0
2015,Male,Partnership dissolved,1,0
2015,Female,Single,1,14
2015,Female,Married,1,0
2015,Female,Widowed,1,0
2015,Female,Divorced,1,0
2015,Female,Unmarried,1,0
2015,Female,In a registered partnership,1,0
2015,Female,Partnership dissolved,1,0
2016,Male,Single,1,12
2016,Male,Married,1,0
2016,Male,Widowed,1,0
2016,Male,Divorced,1,0
2016,Male,Unmarried,1,0
2016,Male,In a registered partnership,1,0
2016,Male,Partnership dissolved,1,0
2016,Female,Single,1,14
2016,Female,Married,1,0
2016,Female,Widowed,1,0
2016,Female,Divorced,1,0
2016,Female,Unmarried,1,0
2016,Female,In a registered partnership,1,0
2016,Female,Partnership dissolved,1,0
2017,Male,Single,1,14
2017,Male,Married,1,0
2017,Male,Widowed,1,0
2017,Male,Divorced,1,0
2017,Male,Unmarried,1,0
2017,Male,In a registered partnership,1,0
2017,Male,Partnership dissolved,1,0
2017,Female,Single,1,21
2017,Female,Married,1,0
2017,Female,Widowed,1,0
2017,Female,Divorced,1,0
2017,Female,Unmarried,1,0
2017,Female,In a registered partnership,1,0
2017,Female,Partnership dissolved,1,0
2018,Male,Single,1,17
2018,Male,Married,1,0
2018,Male,Widowed,1,0
2018,Male,Divorced,1,0
2018,Male,Unmarried,1,0
2018,Male,In a registered partnership,1,0
2018,Male,Partnership dissolved,1,0
2018,Female,Single,1,15
2018,Female,Married,1,0
2018,Female,Widowed,1,0
2018,Female,Divorced,1,0
2018,Female,Unmarried,1,0
2018,Female,In a registered partnership,1,0
2018,Female,Partnership dissolved,1,0
2019,Male,Single,1,16
2019,Male,Married,1,0
2019,Male,Widowed,1,0
2019,Male,Divorced,1,0
2019,Male,Unmarried,1,0
2019,Male,In a registered partnership,1,0
2019,Male,Partnership dissolved,1,0
2019,Female,Single,1,14
2019,Female,Married,1,0
2019,Female,Widowed,1,0
2019,Female,Divorced,1,0
2019,Female,Unmarried,1,0
2019,Female,In a registered partnership,1,0
2019,Female,Partnership dissolved,1,0
2020,Male,Single,1,17
2020,Male,Married,1,0
2020,Male,Widowed,1,0
2020,Male,Divorced,1,0
2020,Male,Unmarried,1,0
2020,Male,In a registered partnership,1,0
2020,Male,Partnership dissolved,1,0
2020,Female,Single,1,12
2020,Female,Married,1,0
2020,Female,Widowed,1,0
2020,Female,Divorced,1,0
2020,Female,Unmarried,1,0
2020,Female,In a registered partnership,1,0
2020,Female,Partnership dissolved,1,0
2021,Male,Single,1,11
2021,Male,Married,1,0
2021,Male,Widowed,1,0
2021,Male,Divorced,1,0
2021,Male,Unmarried,1,0
2021,Male,In a registered partnership,1,0
2021,Male,Partnership dissolved,1,0
2021,Female,Single,1,15
2021,Female,Married,1,0
2021,Female,Widowed,1,0
2021,Female,Divorced,1,0
2021,Female,Unmarried,1,0
2021,Female,In a registered partnership,1,0
2021,Female,Partnership dissolved,1,0
2004,Male,Single,10,5
2004,Male,Married,10,0
2004,Male,Widowed,10,0
2004,Male,Divorced,10,0
2004,Male,Unmarried,10,0
2004,Male,In a registered partnership,10,0
2004,Male,Partnership dissolved,10,0
2004,Female,Single,10,4
2004,Female,Married,10,0
2004,Female,Widowed,10,0
2004,Female,Divorced,10,0
2004,Female,Unmarried,10,0
2004,Female,In a registered partnership,10,0
2004,Female,Partnership dissolved,10,0
2005,Male,Single,10,7
2005,Male,Married,10,0
2005,Male,Widowed,10,0
2005,Male,Divorced,10,0
2005,Male,Unmarried,10,0
2005,Male,In a registered partnership,10,0
2005,Male,Partnership dissolved,10,0
2005,Female,Single,10,3
2005,Female,Married,10,0
2005,Female,Widowed,10,0
2005,Female,Divorced,10,0
2005,Female,Unmarried,10,0
2005,Female,In a registered partnership,10,0
2005,Female,Partnership dissolved,10,0
2006,Male,Single,10,7
2006,Male,Married,10,0
2006,Male,Widowed,10,0
2006,Male,Divorced,10,0
2006,Male,Unmarried,10,0
2006,Male,In a registered partnership,10,0
2006,Male,Partnership dissolved,10,0
2006,Female,Single,10,3
2006,Female,Married,10,0
2006,Female,Widowed,10,0
2006,Female,Divorced,10,0
2006,Female,Unmarried,10,0
2006,Female,In a registered partnership,10,0
2006,Female,Partnership dissolved,10,0
2007,Male,Single,10,5
2007,Male,Married,10,0
2007,Male,Widowed,10,0
2007,Male,Divorced,10,0
2007,Male,Unmarried,10,0
2007,Male,In a registered partnership,10,0
2007,Male,Partnership dissolved,10,0
2007,Female,Single,10,3
2007,Female,Married,10,0
2007,Female,Widowed,10,0
2007,Female,Divorced,10,0
2007,Female,Unmarried,10,0
2007,Female,In a registered partnership,10,0
2007,Female,Partnership dissolved,10,0
2008,Male,Single,10,5
2008,Male,Married,10,0
2008,Male,Widowed,10,0
2008,Male,Divorced,10,0
2008,Male,Unmarried,10,0
2008,Male,In a registered partnership,10,0
2008,Male,Partnership dissolved,10,0
2008,Female,Single,10,4
2008,Female,Married,10,0
2008,Female,Widowed,10,0
2008,Female,Divorced,10,0
2008,Female,Unmarried,10,0
2008,Female,In a registered partnership,10,0
2008,Female,Partnership dissolved,10,0
2009,Male,Single,10,5
2009,Male,Married,10,0
2009,Male,Widowed,10,0
2009,Male,Divorced,10,0
2009,Male,Unmarried,10,0
2009,Male,In a registered partnership,10,0
2009,Male,Partnership dissolved,10,0
2009,Female,Single,10,1
2009,Female,Married,10,0
2009,Female,Widowed,10,0
2009,Female,Divorced,10,0
2009,Female,Unmarried,10,0
2009,Female,In a registered partnership,10,0
2009,Female,Partnership dissolved,10,0
2010,Male,Single,10,1
2010,Male,Married,10,0
2010,Male,Widowed,10,0
2010,Male,Divorced,10,0
2010,Male,Unmarried,10,0
2010,Male,In a registered partnership,10,0
2010,Male,Partnership dissolved,10,0
2010,Female,Single,10,4
2010,Female,Married,10,0
2010,Female,Widowed,10,0
2010,Female,Divorced,10,0
2010,Female,Unmarried,10,0
2010,Female,In a registered partnership,10,0
2010,Female,Partnership dissolved,10,0
2011,Male,Single,10,5
2011,Male,Married,10,0
2011,Male,Widowed,10,0
2011,Male,Divorced,10,0
2011,Male,Unmarried,10,0
2011,Male,In a registered partnership,10,0
2011,Male,Partnership dissolved,10,0
2011,Female,Single,10,3
2011,Female,Married,10,0
2011,Female,Widowed,10,0
2011,Female,Divorced,10,0
2011,Female,Unmarried,10,0
2011,Female,In a registered partnership,10,0
2011,Female,Partnership dissolved,10,0
2012,Male,Single,10,1
2012,Male,Married,10,0
2012,Male,Widowed,10,0
2012,Male,Divorced,10,0
2012,Male,Unmarried,10,0
2012,Male,In a registered partnership,10,0
2012,Male,Partnership dissolved,10,0
2012,Female,Single,10,1
2012,Female,Married,10,0
2012,Female,Widowed,10,0
2012,Female,Divorced,10,0
2012,Female,Unmarried,10,0
2012,Female,In a registered partnership,10,0
2012,Female,Partnership dissolved,10,0
2013,Male,Single,10,1
2013,Male,Married,10,0
2013,Male,Widowed,10,0
2013,Male,Divorced,10,0
2013,Male,Unmarried,10,0
2013,Male,In a registered partnership,10,0
2013,Male,Partnership dissolved,10,0
2013,Female,Single,10,2
2013,Female,Married,10,0
2013,Female,Widowed,10,0
2013,Female,Divorced,10,0
2013,Female,Unmarried,10,0
2013,Female,In a registered partnership,10,0
2013,Female,Partnership dissolved,10,0
2014,Male,Single,10,5
2014,Male,Married,10,0
2014,Male,Widowed,10,0
2014,Male,Divorced,10,0
2014,Male,Unmarried,10,0
2014,Male,In a registered partnership,10,0
2014,Male,Partnership dissolved,10,0
2014,Female,Single,10,0
2014,Female,Married,10,0
2014,Female,Widowed,10,0
2014,Female,Divorced,10,0
2014,Female,Unmarried,10,0
2014,Female,In a registered partnership,10,0
2014,Female,Partnership dissolved,10,0
2015,Male,Single,10,3
2015,Male,Married,10,0
2015,Male,Widowed,10,0
2015,Male,Divorced,10,0
2015,Male,Unmarried,10,0
2015,Male,In a registered partnership,10,0
2015,Male,Partnership dissolved,10,0
2015,Female,Single,10,1
2015,Female,Married,10,0
2015,Female,Widowed,10,0
2015,Female,Divorced,10,0
2015,Female,Unmarried,10,0
2015,Female,In a registered partnership,10,0
2015,Female,Partnership dissolved,10,0
2016,Male,Single,10,4
2016,Male,Married,10,0
2016,Male,Widowed,10,0
2016,Male,Divorced,10,0
2016,Male,Unmarried,10,0
2016,Male,In a registered partnership,10,0
2016,Male,Partnership dissolved,10,0
2016,Female,Single,10,3
2016,Female,Married,10,0
2016,Female,Widowed,10,0
2016,Female,Divorced,10,0
2016,Female,Unmarried,10,0
2016,Female,In a registered partnership,10,0
2016,Female,Partnership dissolved,10,0
2017,Male,Single,10,2
2017,Male,Married,10,0
2017,Male,Widowed,10,0
2017,Male,Divorced,10,0
2017,Male,Unmarried,10,0
2017,Male,In a registered partnership,10,0
2017,Male,Partnership dissolved,10,0
2017,Female,Single,10,3
2017,Female,Married,10,0
2017,Female,Widowed,10,0
2017,Female,Divorced,10,0
2017,Female,Unmarried,10,0
2017,Female,In a registered partnership,10,0
2017,Female,Partnership dissolved,10,0
2018,Male,Single,10,8
2018,Male,Married,10,0
2018,Male,Widowed,10,0
2018,Male,Divorced,10,0
2018,Male,Unmarried,10,0
2018,Male,In a registered partnership,10,0
2018,Male,Partnership dissolved,10,0
2018,Female,Single,10,3
2018,Female,Married,10,0
2018,Female,Widowed,10,0
2018,Female,Divorced,10,0
2018,Female,Unmarried,10,0
2018,Female,In a registered partnership,10,0
2018,Female,Partnership dissolved,10,0
2019,Male,Single,10,3
2019,Male,Married,10,0
2019,Male,Widowed,10,0
2019,Male,Divorced,10,0
2019,Male,Unmarried,10,0
2019,Male,In a registered partnership,10,0
2019,Male,Partnership dissolved,10,0
2019,Female,Single,10,1
2019,Female,Married,10,0
2019,Female,Widowed,10,0
2019,Female,Divorced,10,0
2019,Female,Unmarried,10,0
2019,Female,In a registered partnership,10,0
2019,Female,Partnership dissolved,10,0
2020,Male,Single,10,3
2020,Male,Married,10,0
2020,Male,Widowed,10,0
2020,Male,Divorced,10,0
2020,Male,Unmarried,10,0
2020,Male,In a registered partnership,10,0
2020,Male,Partnership dissolved,10,0
2020,Female,Single,10,4
2020,Female,Married,10,0
2020,Female,Widowed,10,0
2020,Female,Divorced,10,0
2020,Female,Unmarried,10,0
2020,Female,In a registered partnership,10,0
2020,Female,Partnership dissolved,10,0
2021,Male,Single,10,3
2021,Male,Married,10,0
2021,Male,Widowed,10,0
2021,Male,Divorced,10,0
2021,Male,Unmarried,10,0
2021,Male,In a registered partnership,10,0
2021,Male,Partnership dissolved,10,0
2021,Female,Single,10,4
2021,Female,Married,10,0
2021,Female,Widowed,10,0
2021,Female,Divorced,10,0
2021,Female,Unmarried,10,0
2021,Female,In a registered partnership,10,0
2021,Female,Partnership dissolved,10,0
2004,Male,Single,100,4
2004,Male,Married,100,13
2004,Male,Widowed,100,68
2004,Male,Divorced,100,6
2004,Male,Unmarried,100,0
2004,Male,In a registered partnership,100,0
2004,Male,Partnership dissolved,100,0
2004,Female,Single,100,96
2004,Female,Married,100,2
2004,Female,Widowed,100,389
2004,Female,Divorced,100,15
2004,Female,Unmarried,100,0
2004,Female,In a registered partnership,100,0
2004,Female,Partnership dissolved,100,0
2005,Male,Single,100,6
2005,Male,Married,100,8
2005,Male,Widowed,100,72
2005,Male,Divorced,100,1
2005,Male,Unmarried,100,0
2005,Male,In a registered partnership,100,0
2005,Male,Partnership dissolved,100,0
2005,Female,Single,100,87
2005,Female,Married,100,1
2005,Female,Widowed,100,412
2005,Female,Divorced,100,24
2005,Female,Unmarried,100,0
2005,Female,In a registered partnership,100,0
2005,Female,Partnership dissolved,100,0
2006,Male,Single,100,8
2006,Male,Married,100,17
2006,Male,Widowed,100,75
2006,Male,Divorced,100,1
2006,Male,Unmarried,100,0
2006,Male,In a registered partnership,100,0
2006,Male,Partnership dissolved,100,0
2006,Female,Single,100,83
2006,Female,Married,100,4
2006,Female,Widowed,100,368
2006,Female,Divorced,100,20
2006,Female,Unmarried,100,0
2006,Female,In a registered partnership,100,0
2006,Female,Partnership dissolved,100,0
2007,Male,Single,100,8
2007,Male,Married,100,22
2007,Male,Widowed,100,90
2007,Male,Divorced,100,3
2007,Male,Unmarried,100,0
2007,Male,In a registered partnership,100,0
2007,Male,Partnership dissolved,100,0
2007,Female,Single,100,79
2007,Female,Married,100,1
2007,Female,Widowed,100,461
2007,Female,Divorced,100,20
2007,Female,Unmarried,100,0
2007,Female,In a registered partnership,100,0
2007,Female,Partnership dissolved,100,0
2008,Male,Single,100,8
2008,Male,Married,100,17
2008,Male,Widowed,100,100
2008,Male,Divorced,100,4
2008,Male,Unmarried,100,0
2008,Male,In a registered partnership,100,0
2008,Male,Partnership dissolved,100,0
2008,Female,Single,100,85
2008,Female,Married,100,3
2008,Female,Widowed,100,487
2008,Female,Divorced,100,24
2008,Female,Unmarried,100,0
2008,Female,In a registered partnership,100,0
2008,Female,Partnership dissolved,100,0
2009,Male,Single,100,4
2009,Male,Married,100,22
2009,Male,Widowed,100,88
2009,Male,Divorced,100,2
2009,Male,Unmarried,100,0
2009,Male,In a registered partnership,100,0
2009,Male,Partnership dissolved,100,0
2009,Female,Single,100,89
2009,Female,Married,100,6
2009,Female,Widowed,100,481
2009,Female,Divorced,100,29
2009,Female,Unmarried,100,0
2009,Female,In a registered partnership,100,0
2009,Female,Partnership dissolved,100,0
2010,Male,Single,100,13
2010,Male,Married,100,33
2010,Male,Widowed,100,104
2010,Male,Divorced,100,1
2010,Male,Unmarried,100,0
2010,Male,In a registered partnership,100,1
2010,Male,Partnership dissolved,100,0
2010,Female,Single,100,109
2010,Female,Married,100,7
2010,Female,Widowed,100,515
2010,Female,Divorced,100,30
2010,Female,Unmarried,100,0
2010,Female,In a registered partnership,100,0
2010,Female,Partnership dissolved,100,0
2011,Male,Single,100,4
2011,Male,Married,100,30
2011,Male,Widowed,100,120
2011,Male,Divorced,100,3
2011,Male,Unmarried,100,0
2011,Male,In a registered partnership,100,0
2011,Male,Partnership dissolved,100,0
2011,Female,Single,100,79
2011,Female,Married,100,4
2011,Female,Widowed,100,554
2011,Female,Divorced,100,26
2011,Female,Unmarried,100,0
2011,Female,In a registered partnership,100,0
2011,Female,Partnership dissolved,100,0
2012,Male,Single,100,8
2012,Male,Married,100,38
2012,Male,Widowed,100,119
2012,Male,Divorced,100,1
2012,Male,Unmarried,100,0
2012,Male,In a registered partnership,100,0
2012,Male,Partnership dissolved,100,0
2012,Female,Single,100,107
2012,Female,Married,100,10
2012,Female,Widowed,100,588
2012,Female,Divorced,100,33
2012,Female,Unmarried,100,0
2012,Female,In a registered partnership,100,0
2012,Female,Partnership dissolved,100,0
2013,Male,Single,100,6
2013,Male,Married,100,35
2013,Male,Widowed,100,127
2013,Male,Divorced,100,2
2013,Male,Unmarried,100,0
2013,Male,In a registered partnership,100,0
2013,Male,Partnership dissolved,100,0
2013,Female,Single,100,92
2013,Female,Married,100,8
2013,Female,Widowed,100,565
2013,Female,Divorced,100,31
2013,Female,Unmarried,100,0
2013,Female,In a registered partnership,100,0
2013,Female,Partnership dissolved,100,0
