Year,Age_of_husband,Age_of_wife,Count
1985,60-69 ans,40-49 ans,79
1985,60-69 ans,50-59 ans,140
1985,60-69 ans,60-69 ans,113
1985,60-69 ans,70-79 ans,12
1985,60-69 ans,80-89 ans,1
1985,60-69 ans,90 ans ou plus,0
1985,60-69 ans,Moins de 20 ans,0
1985,70-79 ans,20-29 ans,1
1985,70-79 ans,30-39 ans,2
1985,70-79 ans,40-49 ans,4
1985,70-79 ans,50-59 ans,16
1985,70-79 ans,60-69 ans,25
1985,70-79 ans,70-79 ans,8
1985,70-79 ans,80-89 ans,0
1985,70-79 ans,90 ans ou plus,0
1985,70-79 ans,Moins de 20 ans,0
1985,80-89 ans,20-29 ans,0
1985,80-89 ans,30-39 ans,0
1985,80-89 ans,40-49 ans,1
1985,80-89 ans,50-59 ans,0
1985,80-89 ans,60-69 ans,5
1985,80-89 ans,70-79 ans,4
1985,80-89 ans,80-89 ans,1
1985,80-89 ans,90 ans ou plus,0
1985,80-89 ans,Moins de 20 ans,0
1985,90 ans ou plus,20-29 ans,0
1985,90 ans ou plus,30-39 ans,0
1985,90 ans ou plus,40-49 ans,0
1985,90 ans ou plus,50-59 ans,0
1985,90 ans ou plus,60-69 ans,0
1985,90 ans ou plus,70-79 ans,0
1985,90 ans ou plus,80-89 ans,0
1985,90 ans ou plus,90 ans ou plus,0
1985,90 ans ou plus,Moins de 20 ans,0
1985,Moins de 20 ans,20-29 ans,1
1985,Moins de 20 ans,30-39 ans,0
1985,Moins de 20 ans,40-49 ans,0
1985,Moins de 20 ans,50-59 ans,0
1985,Moins de 20 ans,60-69 ans,0
1985,Moins de 20 ans,70-79 ans,0
1985,Moins de 20 ans,80-89 ans,0
1985,Moins de 20 ans,90 ans ou plus,0
1985,Moins de 20 ans,Moins de 20 ans,0
1986,20-29 ans,20-29 ans,1240
1986,20-29 ans,30-39 ans,247
1986,20-29 ans,40-49 ans,19
1986,20-29 ans,50-59 ans,4
1986,20-29 ans,60-69 ans,0
1986,20-29 ans,70-79 ans,0
1986,20-29 ans,80-89 ans,0
1986,20-29 ans,90 ans ou plus,0
1986,20-29 ans,Moins de 20 ans,5
1986,30-39 ans,20-29 ans,1260
1986,30-39 ans,30-39 ans,2893
1986,30-39 ans,40-49 ans,316
1986,30-39 ans,50-59 ans,33
1986,30-39 ans,60-69 ans,2
1986,30-39 ans,70-79 ans,1
1986,30-39 ans,80-89 ans,1
1986,30-39 ans,90 ans ou plus,0
1986,30-39 ans,Moins de 20 ans,1
1986,40-49 ans,20-29 ans,154
1986,40-49 ans,30-39 ans,1304
1986,40-49 ans,40-49 ans,1995
1986,40-49 ans,50-59 ans,155
1986,40-49 ans,60-69 ans,11
1986,40-49 ans,70-79 ans,0
1986,40-49 ans,80-89 ans,0
1986,40-49 ans,90 ans ou plus,0
1986,40-49 ans,Moins de 20 ans,0
1986,50-59 ans,20-29 ans,17
1986,50-59 ans,30-39 ans,112
1986,50-59 ans,40-49 ans,644
1986,50-59 ans,50-59 ans,492
1986,50-59 ans,60-69 ans,42
1986,50-59 ans,70-79 ans,3
1986,50-59 ans,80-89 ans,0
1986,50-59 ans,90 ans ou plus,0
1986,50-59 ans,Moins de 20 ans,0
1986,60-69 ans,20-29 ans,0
1986,60-69 ans,30-39 ans,16
1986,60-69 ans,40-49 ans,76
1986,60-69 ans,50-59 ans,143
1986,60-69 ans,60-69 ans,121
1986,60-69 ans,70-79 ans,11
1986,60-69 ans,80-89 ans,1
1986,60-69 ans,90 ans ou plus,0
1986,60-69 ans,Moins de 20 ans,0
1986,70-79 ans,20-29 ans,1
1986,70-79 ans,30-39 ans,2
1986,70-79 ans,40-49 ans,9
1986,70-79 ans,50-59 ans,9
1986,70-79 ans,60-69 ans,34
1986,70-79 ans,70-79 ans,11
1986,70-79 ans,80-89 ans,4
1986,70-79 ans,90 ans ou plus,0
1986,70-79 ans,Moins de 20 ans,0
1986,80-89 ans,20-29 ans,1
1986,80-89 ans,30-39 ans,0
1986,80-89 ans,40-49 ans,1
1986,80-89 ans,50-59 ans,0
1986,80-89 ans,60-69 ans,2
1986,80-89 ans,70-79 ans,2
1986,80-89 ans,80-89 ans,0
1986,80-89 ans,90 ans ou plus,0
1986,80-89 ans,Moins de 20 ans,0
1986,90 ans ou plus,20-29 ans,0
1986,90 ans ou plus,30-39 ans,0
1986,90 ans ou plus,40-49 ans,0
1986,90 ans ou plus,50-59 ans,0
1986,90 ans ou plus,60-69 ans,0
1986,90 ans ou plus,70-79 ans,0
1986,90 ans ou plus,80-89 ans,0
1986,90 ans ou plus,90 ans ou plus,0
1986,90 ans ou plus,Moins de 20 ans,0
1986,Moins de 20 ans,20-29 ans,0
1986,Moins de 20 ans,30-39 ans,0
1986,Moins de 20 ans,40-49 ans,0
1986,Moins de 20 ans,50-59 ans,0
1986,Moins de 20 ans,60-69 ans,0
1986,Moins de 20 ans,70-79 ans,0
1986,Moins de 20 ans,80-89 ans,0
1986,Moins de 20 ans,90 ans ou plus,0
1986,Moins de 20 ans,Moins de 20 ans,0
1987,20-29 ans,20-29 ans,1156
1987,20-29 ans,30-39 ans,252
1987,20-29 ans,40-49 ans,29
1987,20-29 ans,50-59 ans,7
1987,20-29 ans,60-69 ans,0
1987,20-29 ans,70-79 ans,0
1987,20-29 ans,80-89 ans,0
1987,20-29 ans,90 ans ou plus,0
1987,20-29 ans,Moins de 20 ans,8
1987,30-39 ans,20-29 ans,1271
1987,30-39 ans,30-39 ans,2845
1987,30-39 ans,40-49 ans,349
1987,30-39 ans,50-59 ans,21
1987,30-39 ans,60-69 ans,5
1987,30-39 ans,70-79 ans,1
1987,30-39 ans,80-89 ans,0
1987,30-39 ans,90 ans ou plus,0
1987,30-39 ans,Moins de 20 ans,1
1987,40-49 ans,20-29 ans,115
1987,40-49 ans,30-39 ans,1383
1987,40-49 ans,40-49 ans,2039
1987,40-49 ans,50-59 ans,155
1987,40-49 ans,60-69 ans,11
1987,40-49 ans,70-79 ans,0
1987,40-49 ans,80-89 ans,0
1987,40-49 ans,90 ans ou plus,0
1987,40-49 ans,Moins de 20 ans,0
1987,50-59 ans,20-29 ans,25
1987,50-59 ans,30-39 ans,108
1987,50-59 ans,40-49 ans,649
1987,50-59 ans,50-59 ans,575
1987,50-59 ans,60-69 ans,56
1987,50-59 ans,70-79 ans,0
1987,50-59 ans,80-89 ans,1
1987,50-59 ans,90 ans ou plus,0
1987,50-59 ans,Moins de 20 ans,0
1987,60-69 ans,20-29 ans,4
1987,60-69 ans,30-39 ans,18
1987,60-69 ans,40-49 ans,69
1987,60-69 ans,50-59 ans,165
1987,60-69 ans,60-69 ans,126
1987,60-69 ans,70-79 ans,13
1987,60-69 ans,80-89 ans,0
1987,60-69 ans,90 ans ou plus,0
1987,60-69 ans,Moins de 20 ans,0
1987,70-79 ans,20-29 ans,0
1987,70-79 ans,30-39 ans,2
1987,70-79 ans,40-49 ans,8
1987,70-79 ans,50-59 ans,18
1987,70-79 ans,60-69 ans,36
1987,70-79 ans,70-79 ans,16
1987,70-79 ans,80-89 ans,4
1987,70-79 ans,90 ans ou plus,0
1987,70-79 ans,Moins de 20 ans,0
1987,80-89 ans,20-29 ans,0
1987,80-89 ans,30-39 ans,0
1987,80-89 ans,40-49 ans,0
1987,80-89 ans,50-59 ans,3
1987,80-89 ans,60-69 ans,5
1987,80-89 ans,70-79 ans,2
1987,80-89 ans,80-89 ans,1
1987,80-89 ans,90 ans ou plus,0
1987,80-89 ans,Moins de 20 ans,0
1987,90 ans ou plus,20-29 ans,0
1987,90 ans ou plus,30-39 ans,0
1987,90 ans ou plus,40-49 ans,0
1987,90 ans ou plus,50-59 ans,0
1987,90 ans ou plus,60-69 ans,0
1987,90 ans ou plus,70-79 ans,0
1987,90 ans ou plus,80-89 ans,0
1987,90 ans ou plus,90 ans ou plus,0
1987,90 ans ou plus,Moins de 20 ans,0
1987,Moins de 20 ans,20-29 ans,1
1987,Moins de 20 ans,30-39 ans,0
1987,Moins de 20 ans,40-49 ans,0
1987,Moins de 20 ans,50-59 ans,0
1987,Moins de 20 ans,60-69 ans,0
1987,Moins de 20 ans,70-79 ans,0
1987,Moins de 20 ans,80-89 ans,0
1987,Moins de 20 ans,90 ans ou plus,0
1987,Moins de 20 ans,Moins de 20 ans,0
1988,20-29 ans,20-29 ans,1199
1988,20-29 ans,30-39 ans,264
1988,20-29 ans,40-49 ans,32
1988,20-29 ans,50-59 ans,9
1988,20-29 ans,60-69 ans,0
1988,20-29 ans,70-79 ans,0
1988,20-29 ans,80-89 ans,0
1988,20-29 ans,90 ans ou plus,0
1988,20-29 ans,Moins de 20 ans,11
1988,30-39 ans,20-29 ans,1313
1988,30-39 ans,30-39 ans,3120
1988,30-39 ans,40-49 ans,396
1988,30-39 ans,50-59 ans,32
1988,30-39 ans,60-69 ans,5
1988,30-39 ans,70-79 ans,1
1988,30-39 ans,80-89 ans,0
1988,30-39 ans,90 ans ou plus,0
1988,30-39 ans,Moins de 20 ans,2
1988,40-49 ans,20-29 ans,167
1988,40-49 ans,30-39 ans,1526
1988,40-49 ans,40-49 ans,2311
1988,40-49 ans,50-59 ans,192
1988,40-49 ans,60-69 ans,17
1988,40-49 ans,70-79 ans,3
1988,40-49 ans,80-89 ans,0
1988,40-49 ans,90 ans ou plus,0
1988,40-49 ans,Moins de 20 ans,0
1988,50-59 ans,20-29 ans,23
1988,50-59 ans,30-39 ans,153
1988,50-59 ans,40-49 ans,673
1988,50-59 ans,50-59 ans,670
1988,50-59 ans,60-69 ans,61
1988,50-59 ans,70-79 ans,2
1988,50-59 ans,80-89 ans,0
1988,50-59 ans,90 ans ou plus,0
1988,50-59 ans,Moins de 20 ans,0
1988,60-69 ans,20-29 ans,2
1988,60-69 ans,30-39 ans,21
1988,60-69 ans,40-49 ans,81
1988,60-69 ans,50-59 ans,183
1988,60-69 ans,60-69 ans,153
1988,60-69 ans,70-79 ans,10
1988,60-69 ans,80-89 ans,0
1988,60-69 ans,90 ans ou plus,0
1988,60-69 ans,Moins de 20 ans,0
1988,70-79 ans,20-29 ans,1
1988,70-79 ans,30-39 ans,6
1988,70-79 ans,40-49 ans,5
1988,70-79 ans,50-59 ans,17
1988,70-79 ans,60-69 ans,39
1988,70-79 ans,70-79 ans,16
1988,70-79 ans,80-89 ans,1
1988,70-79 ans,90 ans ou plus,0
1988,70-79 ans,Moins de 20 ans,0
1988,80-89 ans,20-29 ans,0
1988,80-89 ans,30-39 ans,0
1988,80-89 ans,40-49 ans,2
1988,80-89 ans,50-59 ans,0
1988,80-89 ans,60-69 ans,5
1988,80-89 ans,70-79 ans,2
1988,80-89 ans,80-89 ans,1
1988,80-89 ans,90 ans ou plus,0
1988,80-89 ans,Moins de 20 ans,0
1988,90 ans ou plus,20-29 ans,0
1988,90 ans ou plus,30-39 ans,0
1988,90 ans ou plus,40-49 ans,0
1988,90 ans ou plus,50-59 ans,0
1988,90 ans ou plus,60-69 ans,0
1988,90 ans ou plus,70-79 ans,0
1988,90 ans ou plus,80-89 ans,0
1988,90 ans ou plus,90 ans ou plus,0
1988,90 ans ou plus,Moins de 20 ans,0
1988,Moins de 20 ans,20-29 ans,4
1988,Moins de 20 ans,30-39 ans,0
1988,Moins de 20 ans,40-49 ans,0
1988,Moins de 20 ans,50-59 ans,0
1988,Moins de 20 ans,60-69 ans,0
1988,Moins de 20 ans,70-79 ans,0
1988,Moins de 20 ans,80-89 ans,0
1988,Moins de 20 ans,90 ans ou plus,0
1988,Moins de 20 ans,Moins de 20 ans,0
1989,20-29 ans,20-29 ans,1326
1989,20-29 ans,30-39 ans,298
1989,20-29 ans,40-49 ans,34
1989,20-29 ans,50-59 ans,7
1989,20-29 ans,60-69 ans,0
1989,20-29 ans,70-79 ans,1
1989,20-29 ans,80-89 ans,0
1989,20-29 ans,90 ans ou plus,0
1989,20-29 ans,Moins de 20 ans,7
1989,30-39 ans,20-29 ans,1428
1989,30-39 ans,30-39 ans,3022
1989,30-39 ans,40-49 ans,384
1989,30-39 ans,50-59 ans,34
1989,30-39 ans,60-69 ans,6
1989,30-39 ans,70-79 ans,2
1989,30-39 ans,80-89 ans,0
1989,30-39 ans,90 ans ou plus,0
1989,30-39 ans,Moins de 20 ans,2
1989,40-49 ans,20-29 ans,129
1989,40-49 ans,30-39 ans,1446
1989,40-49 ans,40-49 ans,2311
1989,40-49 ans,50-59 ans,166
1989,40-49 ans,60-69 ans,14
1989,40-49 ans,70-79 ans,1
1989,40-49 ans,80-89 ans,0
1989,40-49 ans,90 ans ou plus,0
1989,40-49 ans,Moins de 20 ans,0
1989,50-59 ans,20-29 ans,21
1989,50-59 ans,30-39 ans,156
1989,50-59 ans,40-49 ans,707
1989,50-59 ans,50-59 ans,659
1989,50-59 ans,60-69 ans,53
1989,50-59 ans,70-79 ans,3
1989,50-59 ans,80-89 ans,0
1989,50-59 ans,90 ans ou plus,0
1989,50-59 ans,Moins de 20 ans,0
1989,60-69 ans,20-29 ans,4
1989,60-69 ans,30-39 ans,26
1989,60-69 ans,40-49 ans,93
1989,60-69 ans,50-59 ans,157
1989,60-69 ans,60-69 ans,147
1989,60-69 ans,70-79 ans,11
1989,60-69 ans,80-89 ans,0
1989,60-69 ans,90 ans ou plus,0
1989,60-69 ans,Moins de 20 ans,0
1989,70-79 ans,20-29 ans,0
1989,70-79 ans,30-39 ans,6
1989,70-79 ans,40-49 ans,4
1989,70-79 ans,50-59 ans,10
1989,70-79 ans,60-69 ans,27
1989,70-79 ans,70-79 ans,15
1989,70-79 ans,80-89 ans,1
1989,70-79 ans,90 ans ou plus,0
1989,70-79 ans,Moins de 20 ans,0
1989,80-89 ans,20-29 ans,1
1989,80-89 ans,30-39 ans,0
1989,80-89 ans,40-49 ans,0
1989,80-89 ans,50-59 ans,1
1989,80-89 ans,60-69 ans,0
1989,80-89 ans,70-79 ans,1
1989,80-89 ans,80-89 ans,0
1989,80-89 ans,90 ans ou plus,0
1989,80-89 ans,Moins de 20 ans,0
1989,90 ans ou plus,20-29 ans,0
1989,90 ans ou plus,30-39 ans,0
1989,90 ans ou plus,40-49 ans,0
1989,90 ans ou plus,50-59 ans,0
1989,90 ans ou plus,60-69 ans,0
1989,90 ans ou plus,70-79 ans,0
1989,90 ans ou plus,80-89 ans,0
1989,90 ans ou plus,90 ans ou plus,0
1989,90 ans ou plus,Moins de 20 ans,0
1989,Moins de 20 ans,20-29 ans,0
1989,Moins de 20 ans,30-39 ans,0
1989,Moins de 20 ans,40-49 ans,0
1989,Moins de 20 ans,50-59 ans,0
1989,Moins de 20 ans,60-69 ans,0
1989,Moins de 20 ans,70-79 ans,0
1989,Moins de 20 ans,80-89 ans,0
1989,Moins de 20 ans,90 ans ou plus,0
1989,Moins de 20 ans,Moins de 20 ans,0
1990,20-29 ans,20-29 ans,1344
1990,20-29 ans,30-39 ans,303
1990,20-29 ans,40-49 ans,38
1990,20-29 ans,50-59 ans,4
1990,20-29 ans,60-69 ans,1
1990,20-29 ans,70-79 ans,0
1990,20-29 ans,80-89 ans,0
1990,20-29 ans,90 ans ou plus,0
1990,20-29 ans,Moins de 20 ans,5
1990,30-39 ans,20-29 ans,1363
1990,30-39 ans,30-39 ans,3189
1990,30-39 ans,40-49 ans,422
1990,30-39 ans,50-59 ans,40
1990,30-39 ans,60-69 ans,6
1990,30-39 ans,70-79 ans,0
1990,30-39 ans,80-89 ans,0
1990,30-39 ans,90 ans ou plus,0
1990,30-39 ans,Moins de 20 ans,1
1990,40-49 ans,20-29 ans,162
1990,40-49 ans,30-39 ans,1583
1990,40-49 ans,40-49 ans,2351
1990,40-49 ans,50-59 ans,211
1990,40-49 ans,60-69 ans,7
1990,40-49 ans,70-79 ans,0
1990,40-49 ans,80-89 ans,0
1990,40-49 ans,90 ans ou plus,0
1990,40-49 ans,Moins de 20 ans,0
1990,50-59 ans,20-29 ans,25
1990,50-59 ans,30-39 ans,151
1990,50-59 ans,40-49 ans,725
1990,50-59 ans,50-59 ans,646
1990,50-59 ans,60-69 ans,61
1990,50-59 ans,70-79 ans,3
1990,50-59 ans,80-89 ans,0
1990,50-59 ans,90 ans ou plus,0
1990,50-59 ans,Moins de 20 ans,0
1990,60-69 ans,20-29 ans,9
1990,60-69 ans,30-39 ans,21
1990,60-69 ans,40-49 ans,74
1990,60-69 ans,50-59 ans,172
1990,60-69 ans,60-69 ans,165
1990,60-69 ans,70-79 ans,17
1990,60-69 ans,80-89 ans,0
1990,60-69 ans,90 ans ou plus,0
1990,60-69 ans,Moins de 20 ans,0
1990,70-79 ans,20-29 ans,1
1990,70-79 ans,30-39 ans,2
1990,70-79 ans,40-49 ans,10
1990,70-79 ans,50-59 ans,14
1990,70-79 ans,60-69 ans,28
1990,70-79 ans,70-79 ans,16
1990,70-79 ans,80-89 ans,1
1990,70-79 ans,90 ans ou plus,0
1990,70-79 ans,Moins de 20 ans,0
1990,80-89 ans,20-29 ans,0
1990,80-89 ans,30-39 ans,1
1990,80-89 ans,40-49 ans,0
1990,80-89 ans,50-59 ans,3
1990,80-89 ans,60-69 ans,3
1990,80-89 ans,70-79 ans,4
1990,80-89 ans,80-89 ans,1
1990,80-89 ans,90 ans ou plus,0
1990,80-89 ans,Moins de 20 ans,0
1990,90 ans ou plus,20-29 ans,0
1990,90 ans ou plus,30-39 ans,0
1990,90 ans ou plus,40-49 ans,0
1990,90 ans ou plus,50-59 ans,0
1990,90 ans ou plus,60-69 ans,0
1990,90 ans ou plus,70-79 ans,0
1990,90 ans ou plus,80-89 ans,0
1990,90 ans ou plus,90 ans ou plus,0
1990,90 ans ou plus,Moins de 20 ans,0
1990,Moins de 20 ans,20-29 ans,0
1990,Moins de 20 ans,30-39 ans,0
1990,Moins de 20 ans,40-49 ans,0
1990,Moins de 20 ans,50-59 ans,0
1990,Moins de 20 ans,60-69 ans,0
1990,Moins de 20 ans,70-79 ans,0
1990,Moins de 20 ans,80-89 ans,0
1990,Moins de 20 ans,90 ans ou plus,0
1990,Moins de 20 ans,Moins de 20 ans,1
1991,20-29 ans,20-29 ans,1341
1991,20-29 ans,30-39 ans,336
1991,20-29 ans,40-49 ans,47
1991,20-29 ans,50-59 ans,9
1991,20-29 ans,60-69 ans,0
1991,20-29 ans,70-79 ans,0
1991,20-29 ans,80-89 ans,0
1991,20-29 ans,90 ans ou plus,0
1991,20-29 ans,Moins de 20 ans,7
1991,30-39 ans,20-29 ans,1442
1991,30-39 ans,30-39 ans,3244
1991,30-39 ans,40-49 ans,420
1991,30-39 ans,50-59 ans,39
1991,30-39 ans,60-69 ans,7
1991,30-39 ans,70-79 ans,1
1991,30-39 ans,80-89 ans,0
1991,30-39 ans,90 ans ou plus,0
1991,30-39 ans,Moins de 20 ans,0
1991,40-49 ans,20-29 ans,176
1991,40-49 ans,30-39 ans,1641
1991,40-49 ans,40-49 ans,2413
1991,40-49 ans,50-59 ans,217
1991,40-49 ans,60-69 ans,15
1991,40-49 ans,70-79 ans,0
1991,40-49 ans,80-89 ans,0
1991,40-49 ans,90 ans ou plus,0
1991,40-49 ans,Moins de 20 ans,0
1991,50-59 ans,20-29 ans,36
1991,50-59 ans,30-39 ans,182
1991,50-59 ans,40-49 ans,759
1991,50-59 ans,50-59 ans,686
1991,50-59 ans,60-69 ans,58
1991,50-59 ans,70-79 ans,1
1991,50-59 ans,80-89 ans,0
1991,50-59 ans,90 ans ou plus,0
1991,50-59 ans,Moins de 20 ans,0
1991,60-69 ans,20-29 ans,8
1991,60-69 ans,30-39 ans,28
1991,60-69 ans,40-49 ans,84
1991,60-69 ans,50-59 ans,176
1991,60-69 ans,60-69 ans,145
1991,60-69 ans,70-79 ans,14
1991,60-69 ans,80-89 ans,1
1991,60-69 ans,90 ans ou plus,0
1991,60-69 ans,Moins de 20 ans,0
1991,70-79 ans,20-29 ans,3
1991,70-79 ans,30-39 ans,5
1991,70-79 ans,40-49 ans,13
1991,70-79 ans,50-59 ans,13
1991,70-79 ans,60-69 ans,30
1991,70-79 ans,70-79 ans,20
1991,70-79 ans,80-89 ans,2
1991,70-79 ans,90 ans ou plus,0
1991,70-79 ans,Moins de 20 ans,0
1991,80-89 ans,20-29 ans,0
1991,80-89 ans,30-39 ans,0
1991,80-89 ans,40-49 ans,1
1991,80-89 ans,50-59 ans,0
1991,80-89 ans,60-69 ans,2
1991,80-89 ans,70-79 ans,4
1991,80-89 ans,80-89 ans,0
1991,80-89 ans,90 ans ou plus,0
1991,80-89 ans,Moins de 20 ans,0
1991,90 ans ou plus,20-29 ans,0
1991,90 ans ou plus,30-39 ans,1
1991,90 ans ou plus,40-49 ans,0
1991,90 ans ou plus,50-59 ans,0
1991,90 ans ou plus,60-69 ans,0
1991,90 ans ou plus,70-79 ans,0
1991,90 ans ou plus,80-89 ans,0
1991,90 ans ou plus,90 ans ou plus,0
1991,90 ans ou plus,Moins de 20 ans,0
1991,Moins de 20 ans,20-29 ans,1
1991,Moins de 20 ans,30-39 ans,0
1991,Moins de 20 ans,40-49 ans,0
1991,Moins de 20 ans,50-59 ans,0
1991,Moins de 20 ans,60-69 ans,0
1991,Moins de 20 ans,70-79 ans,0
1991,Moins de 20 ans,80-89 ans,0
1991,Moins de 20 ans,90 ans ou plus,0
1991,Moins de 20 ans,Moins de 20 ans,0
1992,20-29 ans,20-29 ans,1391
1992,20-29 ans,30-39 ans,349
1992,20-29 ans,40-49 ans,33
1992,20-29 ans,50-59 ans,14
1992,20-29 ans,60-69 ans,1
1992,20-29 ans,70-79 ans,0
1992,20-29 ans,80-89 ans,0
1992,20-29 ans,90 ans ou plus,0
1992,20-29 ans,Moins de 20 ans,10
1992,30-39 ans,20-29 ans,1612
1992,30-39 ans,30-39 ans,3552
1992,30-39 ans,40-49 ans,458
1992,30-39 ans,50-59 ans,65
1992,30-39 ans,60-69 ans,10
1992,30-39 ans,70-79 ans,1
1992,30-39 ans,80-89 ans,0
1992,30-39 ans,90 ans ou plus,0
1992,30-39 ans,Moins de 20 ans,2
1992,40-49 ans,20-29 ans,194
1992,40-49 ans,30-39 ans,1710
1992,40-49 ans,40-49 ans,2485
1992,40-49 ans,50-59 ans,195
1992,40-49 ans,60-69 ans,9
1992,40-49 ans,70-79 ans,4
1992,40-49 ans,80-89 ans,0
1992,40-49 ans,90 ans ou plus,0
1992,40-49 ans,Moins de 20 ans,1
1992,50-59 ans,20-29 ans,42
1992,50-59 ans,30-39 ans,213
1992,50-59 ans,40-49 ans,796
1992,50-59 ans,50-59 ans,734
1992,50-59 ans,60-69 ans,67
1992,50-59 ans,70-79 ans,3
1992,50-59 ans,80-89 ans,0
1992,50-59 ans,90 ans ou plus,0
1992,50-59 ans,Moins de 20 ans,0
1992,60-69 ans,20-29 ans,11
1992,60-69 ans,30-39 ans,20
1992,60-69 ans,40-49 ans,83
1992,60-69 ans,50-59 ans,175
1992,60-69 ans,60-69 ans,177
1992,60-69 ans,70-79 ans,19
1992,60-69 ans,80-89 ans,0
1992,60-69 ans,90 ans ou plus,0
