Year,Age_of_husband,Age_of_wife,Count
2013,25-29 ans,35-39 ans,217
2013,25-29 ans,40-49 ans,112
2013,25-29 ans,50-59 ans,19
2013,25-29 ans,60 ans ou plus,2
2013,25-29 ans,Moins de 20 ans,138
2013,30-34 ans,20-24 ans,723
2013,30-34 ans,25-29 ans,4028
2013,30-34 ans,30-34 ans,5035
2013,30-34 ans,35-39 ans,910
2013,30-34 ans,40-49 ans,252
2013,30-34 ans,50-59 ans,27
2013,30-34 ans,60 ans ou plus,9
2013,30-34 ans,Moins de 20 ans,38
2013,35-39 ans,20-24 ans,198
2013,35-39 ans,25-29 ans,1213
2013,35-39 ans,30-34 ans,2939
2013,35-39 ans,35-39 ans,1813
2013,35-39 ans,40-49 ans,517
2013,35-39 ans,50-59 ans,51
2013,35-39 ans,60 ans ou plus,4
2013,35-39 ans,Moins de 20 ans,20
2013,40-49 ans,20-24 ans,124
2013,40-49 ans,25-29 ans,576
2013,40-49 ans,30-34 ans,1462
2013,40-49 ans,35-39 ans,1791
2013,40-49 ans,40-49 ans,2118
2013,40-49 ans,50-59 ans,330
2013,40-49 ans,60 ans ou plus,36
2013,40-49 ans,Moins de 20 ans,7
2013,50-59 ans,20-24 ans,42
2013,50-59 ans,25-29 ans,119
2013,50-59 ans,30-34 ans,229
2013,50-59 ans,35-39 ans,356
2013,50-59 ans,40-49 ans,1214
2013,50-59 ans,50-59 ans,984
2013,50-59 ans,60 ans ou plus,138
2013,50-59 ans,Moins de 20 ans,2
2013,60 ans ou plus,20-24 ans,8
2013,60 ans ou plus,25-29 ans,19
2013,60 ans ou plus,30-34 ans,46
2013,60 ans ou plus,35-39 ans,80
2013,60 ans ou plus,40-49 ans,341
2013,60 ans ou plus,50-59 ans,661
2013,60 ans ou plus,60 ans ou plus,441
2013,60 ans ou plus,Moins de 20 ans,0
2013,Moins de 20 ans,20-24 ans,36
2013,Moins de 20 ans,25-29 ans,8
2013,Moins de 20 ans,30-34 ans,2
2013,Moins de 20 ans,35-39 ans,1
2013,Moins de 20 ans,40-49 ans,0
2013,Moins de 20 ans,50-59 ans,0
2013,Moins de 20 ans,60 ans ou plus,0
2013,Moins de 20 ans,Moins de 20 ans,29
2014,20-24 ans,20-24 ans,1736
2014,20-24 ans,25-29 ans,511
2014,20-24 ans,30-34 ans,103
2014,20-24 ans,35-39 ans,25
2014,20-24 ans,40-49 ans,16
2014,20-24 ans,50-59 ans,7
2014,20-24 ans,60 ans ou plus,1
2014,20-24 ans,Moins de 20 ans,259
2014,25-29 ans,20-24 ans,2316
2014,25-29 ans,25-29 ans,4757
2014,25-29 ans,30-34 ans,1298
2014,25-29 ans,35-39 ans,263
2014,25-29 ans,40-49 ans,119
2014,25-29 ans,50-59 ans,32
2014,25-29 ans,60 ans ou plus,3
2014,25-29 ans,Moins de 20 ans,129
2014,30-34 ans,20-24 ans,715
2014,30-34 ans,25-29 ans,4328
2014,30-34 ans,30-34 ans,5265
2014,30-34 ans,35-39 ans,1015
2014,30-34 ans,40-49 ans,244
2014,30-34 ans,50-59 ans,39
2014,30-34 ans,60 ans ou plus,10
2014,30-34 ans,Moins de 20 ans,30
2014,35-39 ans,20-24 ans,194
2014,35-39 ans,25-29 ans,1299
2014,35-39 ans,30-34 ans,3074
2014,35-39 ans,35-39 ans,1987
2014,35-39 ans,40-49 ans,495
2014,35-39 ans,50-59 ans,58
2014,35-39 ans,60 ans ou plus,9
2014,35-39 ans,Moins de 20 ans,10
2014,40-49 ans,20-24 ans,138
2014,40-49 ans,25-29 ans,582
2014,40-49 ans,30-34 ans,1474
2014,40-49 ans,35-39 ans,1890
2014,40-49 ans,40-49 ans,2163
2014,40-49 ans,50-59 ans,340
2014,40-49 ans,60 ans ou plus,29
2014,40-49 ans,Moins de 20 ans,4
2014,50-59 ans,20-24 ans,28
2014,50-59 ans,25-29 ans,129
2014,50-59 ans,30-34 ans,251
2014,50-59 ans,35-39 ans,322
2014,50-59 ans,40-49 ans,1260
2014,50-59 ans,50-59 ans,1120
2014,50-59 ans,60 ans ou plus,103
2014,50-59 ans,Moins de 20 ans,3
2014,60 ans ou plus,20-24 ans,10
2014,60 ans ou plus,25-29 ans,34
2014,60 ans ou plus,30-34 ans,54
2014,60 ans ou plus,35-39 ans,86
2014,60 ans ou plus,40-49 ans,319
2014,60 ans ou plus,50-59 ans,668
2014,60 ans ou plus,60 ans ou plus,474
2014,60 ans ou plus,Moins de 20 ans,1
2014,Moins de 20 ans,20-24 ans,25
2014,Moins de 20 ans,25-29 ans,5
2014,Moins de 20 ans,30-34 ans,1
2014,Moins de 20 ans,35-39 ans,1
2014,Moins de 20 ans,40-49 ans,0
2014,Moins de 20 ans,50-59 ans,0
2014,Moins de 20 ans,60 ans ou plus,0
2014,Moins de 20 ans,Moins de 20 ans,30
2015,20-24 ans,20-24 ans,1624
2015,20-24 ans,25-29 ans,502
2015,20-24 ans,30-34 ans,92
2015,20-24 ans,35-39 ans,26
2015,20-24 ans,40-49 ans,33
2015,20-24 ans,50-59 ans,8
2015,20-24 ans,60 ans ou plus,0
2015,20-24 ans,Moins de 20 ans,270
2015,25-29 ans,20-24 ans,2298
2015,25-29 ans,25-29 ans,4738
2015,25-29 ans,30-34 ans,1274
2015,25-29 ans,35-39 ans,243
2015,25-29 ans,40-49 ans,90
2015,25-29 ans,50-59 ans,27
2015,25-29 ans,60 ans ou plus,2
2015,25-29 ans,Moins de 20 ans,134
2015,30-34 ans,20-24 ans,710
2015,30-34 ans,25-29 ans,4272
2015,30-34 ans,30-34 ans,5211
2015,30-34 ans,35-39 ans,1001
2015,30-34 ans,40-49 ans,259
2015,30-34 ans,50-59 ans,35
2015,30-34 ans,60 ans ou plus,1
2015,30-34 ans,Moins de 20 ans,33
2015,35-39 ans,20-24 ans,205
2015,35-39 ans,25-29 ans,1243
2015,35-39 ans,30-34 ans,3054
2015,35-39 ans,35-39 ans,1886
2015,35-39 ans,40-49 ans,448
2015,35-39 ans,50-59 ans,57
2015,35-39 ans,60 ans ou plus,2
2015,35-39 ans,Moins de 20 ans,14
2015,40-49 ans,20-24 ans,120
2015,40-49 ans,25-29 ans,576
2015,40-49 ans,30-34 ans,1372
2015,40-49 ans,35-39 ans,1890
2015,40-49 ans,40-49 ans,2154
2015,40-49 ans,50-59 ans,361
2015,40-49 ans,60 ans ou plus,26
2015,40-49 ans,Moins de 20 ans,1
2015,50-59 ans,20-24 ans,26
2015,50-59 ans,25-29 ans,99
2015,50-59 ans,30-34 ans,276
2015,50-59 ans,35-39 ans,375
2015,50-59 ans,40-49 ans,1250
2015,50-59 ans,50-59 ans,1168
2015,50-59 ans,60 ans ou plus,124
2015,50-59 ans,Moins de 20 ans,2
2015,60 ans ou plus,20-24 ans,9
2015,60 ans ou plus,25-29 ans,21
2015,60 ans ou plus,30-34 ans,54
2015,60 ans ou plus,35-39 ans,72
2015,60 ans ou plus,40-49 ans,382
2015,60 ans ou plus,50-59 ans,711
2015,60 ans ou plus,60 ans ou plus,509
2015,60 ans ou plus,Moins de 20 ans,2
2015,Moins de 20 ans,20-24 ans,28
2015,Moins de 20 ans,25-29 ans,2
2015,Moins de 20 ans,30-34 ans,2
2015,Moins de 20 ans,35-39 ans,1
2015,Moins de 20 ans,40-49 ans,1
2015,Moins de 20 ans,50-59 ans,0
2015,Moins de 20 ans,60 ans ou plus,0
2015,Moins de 20 ans,Moins de 20 ans,31
2016,20-24 ans,20-24 ans,1467
2016,20-24 ans,25-29 ans,434
2016,20-24 ans,30-34 ans,99
2016,20-24 ans,35-39 ans,39
2016,20-24 ans,40-49 ans,19
2016,20-24 ans,50-59 ans,9
2016,20-24 ans,60 ans ou plus,0
2016,20-24 ans,Moins de 20 ans,237
2016,25-29 ans,20-24 ans,2175
2016,25-29 ans,25-29 ans,4918
2016,25-29 ans,30-34 ans,1256
2016,25-29 ans,35-39 ans,224
2016,25-29 ans,40-49 ans,101
2016,25-29 ans,50-59 ans,25
2016,25-29 ans,60 ans ou plus,4
2016,25-29 ans,Moins de 20 ans,133
2016,30-34 ans,20-24 ans,685
2016,30-34 ans,25-29 ans,4285
2016,30-34 ans,30-34 ans,5289
2016,30-34 ans,35-39 ans,1081
2016,30-34 ans,40-49 ans,262
2016,30-34 ans,50-59 ans,46
2016,30-34 ans,60 ans ou plus,12
2016,30-34 ans,Moins de 20 ans,25
2016,35-39 ans,20-24 ans,229
2016,35-39 ans,25-29 ans,1302
2016,35-39 ans,30-34 ans,3120
2016,35-39 ans,35-39 ans,2131
2016,35-39 ans,40-49 ans,468
2016,35-39 ans,50-59 ans,53
2016,35-39 ans,60 ans ou plus,4
2016,35-39 ans,Moins de 20 ans,7
2016,40-49 ans,20-24 ans,105
2016,40-49 ans,25-29 ans,507
2016,40-49 ans,30-34 ans,1330
2016,40-49 ans,35-39 ans,1825
2016,40-49 ans,40-49 ans,2089
2016,40-49 ans,50-59 ans,334
2016,40-49 ans,60 ans ou plus,26
2016,40-49 ans,Moins de 20 ans,7
2016,50-59 ans,20-24 ans,40
2016,50-59 ans,25-29 ans,121
2016,50-59 ans,30-34 ans,259
2016,50-59 ans,35-39 ans,393
2016,50-59 ans,40-49 ans,1313
2016,50-59 ans,50-59 ans,1200
2016,50-59 ans,60 ans ou plus,111
2016,50-59 ans,Moins de 20 ans,0
2016,60 ans ou plus,20-24 ans,4
2016,60 ans ou plus,25-29 ans,31
2016,60 ans ou plus,30-34 ans,56
2016,60 ans ou plus,35-39 ans,82
2016,60 ans ou plus,40-49 ans,371
2016,60 ans ou plus,50-59 ans,768
2016,60 ans ou plus,60 ans ou plus,482
2016,60 ans ou plus,Moins de 20 ans,0
2016,Moins de 20 ans,20-24 ans,24
2016,Moins de 20 ans,25-29 ans,2
2016,Moins de 20 ans,30-34 ans,1
2016,Moins de 20 ans,35-39 ans,0
2016,Moins de 20 ans,40-49 ans,0
2016,Moins de 20 ans,50-59 ans,0
2016,Moins de 20 ans,60 ans ou plus,0
2016,Moins de 20 ans,Moins de 20 ans,26
2017,20-24 ans,20-24 ans,1444
2017,20-24 ans,25-29 ans,401
2017,20-24 ans,30-34 ans,80
2017,20-24 ans,35-39 ans,35
2017,20-24 ans,40-49 ans,27
2017,20-24 ans,50-59 ans,4
2017,20-24 ans,60 ans ou plus,0
2017,20-24 ans,Moins de 20 ans,198
2017,25-29 ans,20-24 ans,2114
2017,25-29 ans,25-29 ans,4910
2017,25-29 ans,30-34 ans,1212
2017,25-29 ans,35-39 ans,228
2017,25-29 ans,40-49 ans,97
2017,25-29 ans,50-59 ans,23
2017,25-29 ans,60 ans ou plus,3
2017,25-29 ans,Moins de 20 ans,99
2017,30-34 ans,20-24 ans,647
2017,30-34 ans,25-29 ans,4164
2017,30-34 ans,30-34 ans,5296
2017,30-34 ans,35-39 ans,1043
2017,30-34 ans,40-49 ans,229
2017,30-34 ans,50-59 ans,42
2017,30-34 ans,60 ans ou plus,10
2017,30-34 ans,Moins de 20 ans,23
2017,35-39 ans,20-24 ans,201
2017,35-39 ans,25-29 ans,1190
2017,35-39 ans,30-34 ans,3054
2017,35-39 ans,35-39 ans,1997
2017,35-39 ans,40-49 ans,518
2017,35-39 ans,50-59 ans,45
2017,35-39 ans,60 ans ou plus,3
2017,35-39 ans,Moins de 20 ans,11
2017,40-49 ans,20-24 ans,88
2017,40-49 ans,25-29 ans,455
2017,40-49 ans,30-34 ans,1280
2017,40-49 ans,35-39 ans,1739
2017,40-49 ans,40-49 ans,2059
2017,40-49 ans,50-59 ans,334
2017,40-49 ans,60 ans ou plus,32
2017,40-49 ans,Moins de 20 ans,3
2017,50-59 ans,20-24 ans,24
2017,50-59 ans,25-29 ans,96
2017,50-59 ans,30-34 ans,194
